Molecule,Log-Likelihood
CC(C)=C[C@@H]1Oc2cc3c(c(O)c21)C(=O)C[C@@H]1C(C)(C)CCC[C@]31C,-23.342302583954737
CCc1c(OC(=O)c2c(C)cc(OC(=O)c3ccccc3)c(O)c2O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,-30.498373096517753
O=C(CCCC[C@H]1SC[C@@H]2NC(=O)N[C@@H]21)Nc1ccccc1,-13.507807123693055
CCCCOC(C)=O,-12.61585340788588
COc1ccc(-c2cc(OC)c(CC3=NCCc4cc(OC)c(OC)c(OC)c43)s2)c(OC)c1,-29.883348574549014
O=C(Nc1ccccc1F)O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=S)Nc1ccc(F)cc1,-19.94881736834941
COCCN(C[C@H]1CCCC[C@H]1Cl)C1=C2C[C@@H]3[C@H]4CC[C@]5(C)[C@H](c6ccc(=O)oc6)CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@]2(C)CC1,-51.4313217396375
CO[C@H]1[C@@H](O)[C@@H](O[C@@H]2CC[C@@]3(C)[C@H](CC[C@]4(C)[C@H]3CC=C3[C@@H]5CC(C)(C)CC[C@]5(C(=O)O)CC[C@]34C)C2(C)C)OC[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1OC(=O)/C=C/c1ccccc1,-35.872117503622576
C[C@@H]1C[C@H]2[C@@H](CC(=O)N2Cc2ccncc2)[C@@H]1CNCc1ccncc1,-24.072321727544477
O=C(c1ccc2c(c1)OCO2)c1cc(N2CCOCC2)nc(-c2ccc(OC(F)(F)F)cc2)n1,-30.035270769411
CC(=O)O[C@@H]1[C@@H](O[C@@H]2[C@H](O)[C@H](O[C@H]3[C@@H](O)[C@@H](O)[C@H](O)O[C@H]3CO)O[C@H](C)[C@H](O[C@H]3OC[C@@H](O)[C@H](O)[C@@H]3O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@@H](C)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-47.558888153791486
CC(=O)Oc1ccc2oc(=O)c3c4c(ccc3c2c1)CCCC4,-24.86852905104024
CC(=O)O[C@H]1[C@H](O)[C@H](O)[C@@H](OC[C@H]2O[C@@H](Oc3ccc(CC=C(C)C)c(O)c3CC=C(C)C)[C@H](O)[C@H](O)[C@@H]2O)O[C@@H]1C,-33.262071288871084
CO[C@H]1[C@@H](O)[C@@H](C)O[C@H](O[C@@H]2CC[C@]3(C)[C@H](CC[C@@H]4[C@H]3CC[C@@]3(C)[C@H](c5cc[nH]c5)CC[C@]43O)C2)[C@@H]1O,-32.25140993781315
CCn1cc(/C=C2\Oc3c(ccc(OCc4cc(Cl)ccc4Cl)c3C)C2=O)c2ccccc21,-17.080697639376012
COc1ccc(-c2c[nH]c([C@@H]3COCCN3Cc3ccc(OC)c(OC)c3)n2)cc1,-14.422965631150872
CC1=C(CO)C[C@]2(C)[C@@H]3[C@@H](CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,-33.05924336761018
C=CCOc1ccc([C@@H]2CC(=O)Oc3ccc4c(=O)c(-c5ccccc5)coc4c32)cc1OC,-15.991401244969891
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,-17.484800047561293
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCC,-18.105399035586743
CC(C)=CC(=O)OC[C@@H]1C[C@@H](O)/C(C)=C\CC/C(C)=C/CO1,-31.690379388310248
CC(C)=CCC/C(C)=C/CC=C(C)CCc1cc(C(=O)O)cc(O)c1O,-15.567836051865015
COc1ccc(C(=O)NC[C@@H]2C[C@@H]3CC[N@@]2C[C@@H]3CN2CCOCC2)cc1,-16.53026096794929
COc1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCO3)cc1,-13.959389502953854
CNc1cccc(C2=CCNC2)c1OC,-26.308393397914188
CN(CCc1ccccc1)C[C@@H]1OC[C@@H](NC(=O)Nc2ccccc2)[C@H]1O,-16.66196520972153
CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC,-18.263700252209674
FC(F)(F)c1ccc(C(F)(F)F)cc1,-12.761981900621322
CO[C@@H]1c2c(O)cc(C)c(O)c2Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c21,-28.909090696248313
C[C@H]1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,-17.570797415733978
CC1=C[C@@H](CN(Cc2ccccc2Cl)c2ccco2)[C@H](C(C)C)C[C@H]1Cc1nnc(-c2ccncc2F)o1,-22.894813537928712
CC(C)NC(=O)c1ccc2nc3n(c(=O)c2c1)CCC3,-15.109987998075669
CC1=C(CC[C@@H](C)CO)O[C@@]2(C)CC[C@H]3[C@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@@H]4CC[C@@]3(C)[C@H]12,-36.337687574177835
C/C(=C\CC/C(C)=C/CC[C@@]1(C)Oc2ccc(C=O)c(C=O)c2C[C@H]1O)CO,-26.89509136437482
C=C[C@]1(C)CC[C@@H]2C[C@@H](O)C[C@H](C)[C@@]2(O)C1,-25.00907550217744
CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1cc(CC=C(C)C)c(O)c(CCC(=O)O)c1,-25.0695424987789
CC1=C2CC[C@@H]3[C@H]([C@H]4C[C@](C)(O)C[C@H]4O)C[C@@]23CC1,-32.638008885565796
CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCC(C)C,-17.370355251041474
C[C@@H]1O[C@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O[C@@H]5O[C@H](C)[C@H](O)[C@@H](O)[C@H]5O)c(O)c4)oc3c2)[C@@H](O)[C@H](O)[C@@H]1O,-24.249626805623848
CCC[C@@H]1OC(=O)CCCCCCCC[C@H]2[C@@H](O)[C@H](C)CN12,-27.57195310287716
O=C1C[C@H](c2ccccc2O)c2c(ccc3c(=O)c(-c4ccc(O)cc4)coc23)O1,-15.339897575297073
COc1cc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-18.80372843567602
COc1cccc2[nH]c(NC(=O)COc3ccc4c5c(c(=O)oc4c3)CCCC5)nc12,-24.896407451306004
C=C1CCCC2=NCC[C@@H](C(C)C)[C@@H]1C2,-25.569541993027087
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c(O)c12,-17.116582428014226
C=C[C@]1(C)CC[C@H](C(=C)C)[C@@H](OC(C)=O)[C@H]1/C=C(/C)COC(C)=O,-27.269241267465983
CC(C)[C@@H](O)[C@H]1C[C@H]([C@@H]2CC[C@@H]3[C@]2(C)CC[C@@H]2[C@@]4(C)CC[C@H](O)C[C@@H]4[C@H](O)C[C@@]23O)[C@@](C)(O)C1,-37.082159199369926
O=C(CCc1ccccc1)C(=O)c1ccc(F)cc1,-25.184221838018857
COc1ccccc1C(=O)N1CCn2c1nc1ccccc1c2=O,-17.84305718926771
COc1ccc2c(OC)c3c(c(-c4ccc5c(c4)OCO5)c2c1OC)OCO3,-15.364342879969628
C=C1CC[C@@H](O)C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO,-17.805707534185785
CCCCCCCC(=O)O[C@H](c1oc2cc(OC)c(OC)cc2c(=O)c1OC)c1coc2ccc(OC)cc2c1=O,-29.29407761313996
CCC(=O)Oc1ccc(/C=C/C(=O)NC(C)(C)C(=O)NCc2ccco2)cc1,-27.2484603533303
C[C@H]1Nc2c(c3ccccc3n2C)C[C@@H]1OC(=O)CCC(=O)N1CCCC1,-34.64678071845992
N#Cc1cccc(NC(=O)COc2coc3c4c(ccc3c2=O)OCN(CC2CCCCC2)C4)c1,-25.44281852398126
CCc1oc2cc3oc(=O)c(CC(=O)O)c(C)c3cc2c1C,-16.743401324827573
CC(=O)Nc1ccc([C@@H]2OCC[C@@H](O)[C@@H]2NC(C)=O)cc1,-18.771190085502894
COc1ccc2c(cc(C)n2C)c1O,-22.769196939610993
COc1ccc([C@H](O)CC(=O)N[C@H]2CCCc3c2[nH]c2ccccc32)c(OC)c1,-22.863035879065137
C[C@@H](O)CCC1=CC(=O)O[C@@H]1O,-19.528935499336512
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1[C@@H](O)[C@H]2O,-18.86264680629029
CN(C)c1ccc(/C=C/C(=O)C2=NN[C@@H]3C=C[C@@H](C2)[C@@H]3c2ccccc2)cc1,-33.999551747503574
C[C@@]12CC[C@H](OO)C[C@@H]1CC[C@@H]1[C@H]2CC[C@]2(C)[C@H](C3=CC(=O)OC3)[C@@H](O)C[C@]12O,-25.42266081580965
C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(Br)ccc1Br,-22.83476556296955
COc1ccc2ccc(C(=O)Nc3cccc(C(=O)Oc4ccc(C=O)cc4)c3)cc2c1,-32.62553121995734
Cc1cc(O)c2c(c1)[C@@H](O)C[C@@H]1C(C)(C)C(=O)CC[C@]21C,-18.656067077630723
CC/C=C/C[C@@H](O)CCCCCCCCCCC(=O)O,-19.328689396745176
COc1cc(OC)c2c(=O)c(Oc3ccc(Cl)cc3)coc2c1OC,-16.51762319420959
CC[C@@H](C)/C=C(C)/C=C/C1=CC2=C(Cl)C(=O)[C@@]1(C)OC2=O,-18.141686704540916
CC(=CC(=O)O)c1oc2ccccc2c(=O)c1O,-20.26760315561478
COc1ccc2c(=O)c(-c3nc(-c4cccnc4)cs3)coc2c1OC,-19.59086676091829
CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCC/C=C\CCCCCCCC,-16.65714753278735
COc1ccc(CCNc2nc(-c3ccc(C)cc3)cs2)cc1,-18.98368571480387
COc1ccc2c(c1)c(C(=O)Nc1ccccc1Cl)c(C)n2CCCc1nc2ccccc2n1C,-32.160164476328646
CC1(C)C[C@H](NC(=O)Cn2[nH]ccc2=O)C[C@@H]2CN(Cc3ccccc3O)CCN21,-33.574000871769385
O=c1cc(-c2ccccc2)[nH]o1,-14.400018510845255
C/C=C(/C)[C@@H](O)C[C@H](O)C(C)(C)C#CCO[C@H]1O[C@@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,-42.0862156212097
CCOc1ccccc1CNC(=O)CSc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccc(Br)cc1,-23.443382975267017
C#CC#CCC(=O)OC,-17.730234327114886
COC(=O)c1c(CC(C)C)cc(OC)c(C)c1OC,-23.566675663241767
CC(=O)O[C@@H]1[C@H](OC(C)=O)[C@]2(O)[C@@H](CC[C@H](OC(C)=O)[C@@]3(C)[C@@H](CO)CC[C@@H]32)[C@@]2(C)CC[C@](O)(C(C)C)[C@@H]12,-44.71327080834817
NC(=O)c1cccc2nc(N)oc12,-23.278611677022127
C=C1C(=O)O[C@H]2/C=C(\C)CC[C@H]3O[C@@]3(C)C[C@H](OC(=O)/C(C)=C\C)[C@@H]12,-17.079644613353594
COc1cc2c(cc1O)CCN(C(=O)Cc1cc3c(cc1C)OCO3)C2,-20.673466860494955
