Molecule,Log-Likelihood
CCCCC[C@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](SC(=O)c5cccs5)CC[C@]4(C)[C@H]3CC[C@]12C,-22.271953277406283
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,-15.06477289491886
CC(=O)c1c(C)cc2cc(Br)c(OCC(=O)NCCCCN)c(C(C)C)c2c1O,-32.07180568161857
CC(C)=CCC/C(C)=C/Cc1c(O)ccc(CC=C(C)C)c1O,-15.508283432456665
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(C)=O)[C@@H](OC(C)=O)/C(CO)=C/CC[C@]1(C)O[C@@H]21,-19.887310974183492
CC(=O)O[C@H]1CC[C@@](C)(O)[C@@]23O[C@@]2(C[C@H]2C(C)=CCC[C@@]12C)[C@H](O)C[C@@H]3OC(C)=O,-36.1165537081215
C/C=C\C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCC/C=C\CCCCCCC,-28.059438855139888
O=C(Nc1cccc(C(F)(F)F)c1)N1CC[C@H]2COCCN2C2(CN(Cc3ccc(F)cc3)C2)C1,-19.858825019575303
COC(=O)c1cc2c(=O)oc3cc(OC)c(OC)cc3c2o1,-18.39369192950835
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCC/C=C\CCCCCCC,-17.32271953759482
COc1ccc(/C=C2\Oc3c(ccc4c3[C@H](C3=CC=C(CC(=O)O)N(CC(C)=O)C=C3)CC(=O)O4)C2=O)cc1,-22.01701597209467
CCCCC/C=C\C/C=C\CCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC)COC(=O)CCCCCCCCCC/C=C\CCCCCCC,-17.73952082910546
COc1ccc2c(c1)NC1(CCN(C(=O)c3csc(C#N)n3)CC1)c1cccn1-2,-22.80845295929612
O=C(c1ccccc1F)N1CCC2(CC1)Nc1cccn1-n1cccc12,-17.83298068511067
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)O[C@@H]2Oc3cc(O)cc(C)c3C[C@H]2O)C(C)(C)CCC1=O,-31.574037735237653
COc1cc(C=CC(=O)O[C@H]2[C@H](O)[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)O[C@@H]2C)cc(OC)c1O,-25.694477112403547
COc1ccc(/C=C/c2ccc(O[C@H]3O[C@@H](CO[C@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@H]3O)c(OC)c2)cc1O,-25.0766825642786
CN1[C@@H]2CCC[C@](O)(C(=O)O)[C@@]1(O)C(=O)N2,-31.518395429040535
C[C@@]12C(=O)C(Cl)=C[C@]1(O)C[C@@H]1[C@H]3CC[C@H]4[C@@](C)(O)C(=O)CC[C@]4(C)[C@@]3(C)CC[C@]12O,-38.262771382243955
CO[C@H]1C(C)=C[C@@]23C(=O)C=C[C@@H](OC(=O)c4ccccc4)[C@@]2(O)[C@@H]1OC3=O,-31.42067709105322
COc1cc([C@]23NC(=O)CCN2c2c(OC)cccc2[C@@H]3[C@@H]2OC(=O)C[C@@H]2O)ccc1O,-37.691690473606286
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@H]6O[C@@H](CO)[C@H](O[C@H]7O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]7O)[C@@H](O)[C@@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,-22.775301226567535
C=C(C)[C@@H](CC)CC[C@@H]1C(C)=CCC[C@]1(C)O,-22.867660002237244
C=C1[C@@H]2CC[C@H]3[C@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(O)CC[C@@]1(O)C(=O)OC,-23.34757814549812
CCc1c(C)c(O)c(C)c(C=O)c1C(=O)O,-21.064580054517137
C[C@H](C[C@@H](O)[C@@H](C)O)[C@H]1CC[C@@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@@H](O)CC[C@@]4(C)[C@H]3CC[C@@]21C,-27.17575795466837
CCCCCC/C=C\CCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCC/C=C\CCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC/C=C\CCCCCCCC,-23.862220889528544
