Molecule,Log-Likelihood
CCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C,-14.33572934951735
C=C1C(=O)O[C@@H]2[C@H]1[C@@H](OC(=O)/C(=C\CO)CO)C[C@@](C)(O)[C@H]1C[C@H](O)[C@@](C)(OO)[C@@H]21,-25.04124863709785
O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc(O)c12,-12.001804935579456
COc1ccc(OC(=O)c2ccccc2)cc1/C=C1/Oc2cc(OCC(=O)N3CCc4ccccc4C3)ccc2C1=O,-31.07179763678937
C=C(C)[C@H](O)CC[C@@H](C)[C@@H]1CC[C@]2(C)[C@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O[C@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O)CC[C@@]45C[C@@]35CC[C@]12C,-21.64933491750662
COc1cc(/C=C/CCCCCCCCc2ccc(O)cc2)cc(OC)c1OC,-21.547435797938306
COc1cc(-c2oc3cc(OC)c(O)c(OC)c3c(=O)c2O)ccc1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,-22.07878288500615
CN(C)CCc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,-23.47598987330184
C=C(C)[C@@H](CCC(C)(C)O)Cc1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,-18.40551615257573
C[C@@H](CCCCCC(=O)O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-19.515862088241192
CCC(=O)Oc1ccc2oc(-c3ccccc3)c(C(=O)Oc3cccc(OC)c3)c2c1,-23.85451741820816
Cc1ccc(O)c2cc(C(C)C)cc(O)c12,-21.703846822028027
C[C@@H]1[C@H](O)CC[C@@]2(C)C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,-22.740533686891467
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC/C=C\CCCCCCCC,-18.450008310267776
Cc1cc(C(=O)NC2Cc3ccccc3C2)n(-c2ccccc2)n1,-21.62829738298387
CNc1ccccc1Cl,-14.86058546217464
CC(=O)Oc1ccc(C)c2c1[C@@H](O)OC2=O,-21.499012617307017
COc1ccc(C(=O)O[C@@H]2[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@H](O[C@@H]3CC[C@@]4(C)[C@H](CC[C@]5(C)[C@H]4CC=C4[C@H]6CC(C)(C)CC[C@]6(C(=O)O[C@H]6O[C@H](CO[C@H]7O[C@H](CO[C@H]8OC[C@H](O)[C@H](O)[C@@H]8O)[C@@H](O)[C@H](O)[C@@H]7O)[C@@H](O)[C@H](O)[C@@H]6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)CC[C@]45C)C3(C)C)O[C@@H]2C)cc1,-38.55365819002054
CO[C@@H]1[C@@H](O)[C@H](O)O[C@H](CO)[C@@H]1O,-14.76844653673288
COc1ccc(-c2oc3cc(O)c(O)c(O)c3c(=O)c2Sc2ccc(O)cc2)cc1OC,-26.870813045429713
CC(=O)O[C@H]1[C@@H](C)O[C@H](O[C@H]2[C@H](O)C[C@@H](O[C@H]3[C@H](C)O[C@@H](O[C@@H]4CC[C@@]5(C)[C@@H](CC[C@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@@]65O)C4)C[C@@H]3O)O[C@H]2C)C[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-32.24284207838991
COc1cc2c(cc1OC)[C@@H](c1c(O)[nH]c(=O)n(-c3ccc4c(c3)OCO4)c1=O)NC2,-20.1690791042829
C/C=C(/C)C(=O)O[C@@H]1[C@H]2OC(=O)[C@](C)(OC(C)=O)[C@@]2(OC(C)=O)[C@@H]2[C@@H](C)[C@H](OC(C)=O)C=C[C@@]12C,-29.28094016292243
C[C@@H](O)CCCCCC[C@H](O)[C@@H](O)CC[C@H](O)[C@H]1CCC(=O)O1,-25.992006079422936
COc1cccc(COc2ccc3cc(-c4ccc(OC)c(OC)c4)c(=O)oc3c2)c1,-16.909978709808456
C[C@@H]1[C@@H](OC(=O)CCC(=O)NCc2ccccc2)O[C@H]2O[C@]3(C)CC[C@@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,-16.830049483090534
CC(C)[C@@H]1CC[C@@]2(C)[C@@H]1CC[C@@]1(C)O[C@@]3(O)CC[C@H](C)[C@@]3(C)CC[C@@H]21,-30.378313823568533
O=C(Cc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@H]1O[C@@H](CO[C@@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-24.979400064896257
CC1(C)[C@H](N)CC[C@]2(C)[C@@H]1[C@@H](O)C[C@@]1(C)[C@@H]2CC[C@@H]2[C@]3(C)CC[C@H](O)C(C)(C)[C@H]3CC[C@@]21C,-33.46389382697362
CC(C)NC(=O)C[C@]12CC[C@](C)(C(=O)C1)C2(C)C,-18.032559100603976
Cn1c(=O)c2c(ncn2Cc2cccc(O)c2)n(C)c1=O,-16.83565354982602
CNCCc1ccc(O)cc1CCl,-24.556290914501005
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,-14.717106630406306
CCOc1c(OC)cccc1[C@H]1CN2C(=O)CN(CCc3ccc(F)cc3)C(=O)[C@@]2(C)c2[nH]c3ccccc3c21,-17.84148225902527
Cc1nn(-c2ccccc2)c(C)c1[C@@H]1C=C[C@@H](NCCCCO)C1,-17.66957985175395
c1ccc(-n2nnc([C@H]3CCCN3C3CCC3)n2)cc1,-27.640881942292253
CC1(C)C[C@@](CCNCc2cccc(O)c2)(c2ccccc2)CCO1,-18.91586969995751
O=C(N[C@@H]1CO[C@@H]2[C@H]1OC[C@H]2Nc1nccc(-c2ccccn2)n1)c1cccs1,-17.87781296063713
COc1ccc2c(=O)c3c(OC)c(OC)c(OC)cc3oc2c1,-15.102185583876237
C=CCNC(=O)O[C@@H]1CO[C@H]2[C@H]1OC[C@H]2Nc1nccc(-c2ccco2)n1,-14.77540725262952
C[C@H]1O[C@@H](O[C@@H]2CC[C@]3(C)[C@@H]4CC[C@@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,-26.37916435578427
C=C1C(=O)O[C@H]2C[C@H](C)C([C@H](O)CC[C@@H](C)O)=CC[C@@H]12,-21.24074916403697
Fc1ccccc1-c1nnc([C@@H]2CCN(Cc3cccc(Cl)c3)C2)o1,-17.03877336853111
COCCOC[C@H]1C[C@H](O)[C@@H](O)O[C@H]1C=C(C)C,-32.87531132273125
O=C1c2ccccc2-c2ccccc21,-10.263814688012644
CC1=C[C@@H](CNC(=O)c2ccc(C(F)(F)F)cc2)[C@H](C(C)C)C[C@@H]1Cc1nc2ccccc2[nH]1,-17.342077053213416
COc1ccc(CNC(=O)CCc2c(C)c3cc4c(C)c(C)oc4c(C)c3oc2=O)c(OC)c1,-15.033913978263628
O=c1c(-c2nc(-c3ccc(O)cc3)cs2)c(C(F)(F)F)oc2cc(O)ccc12,-18.279813324877978
C[C@H]1CC[C@]23COC(=O)C2=C[C@@H](O)[C@H]3[C@@]1(C)CCc1ccoc1,-18.843153344378152
COc1cc(CCO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)ccc1O,-14.215799608406089
CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC(C)C,-17.075463483907015
Cc1cc(OCC(=O)NCC(=O)O)c2c(C)c(Cc3ccccc3)c(=O)oc2c1,-12.68171835715384
