Molecule,Log-Likelihood
CCCCCCc1oc(CCCCCCCC(=O)O)c(C)c1C(=O)O,-18.233424582303087
O=C(O)c1nc(=O)c2ccc(Br)cc2[nH]1,-24.442295083646968
Nc1ccc2occ(-c3ccccc3)c(=O)c2c1,-16.342160425045222
C=C1C[C@H](O)[C@@H]2C(C)(C)C[C@H](O)C[C@@]2(C)[C@H]1CC/C(C)=C/COc1ccc2ccc(=O)oc2c1,-22.392525147923152
C/C(=C\CC[C@](C)(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@H]3[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](C)[C@H](O)[C@@H](O)[C@@H]4O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)C[C@@]12C)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-42.4361981907864
CC1=C[C@@H](CN2CCN(c3ccc(F)cc3)CC2)[C@H](C(C)C)C[C@@H]1Cc1nnc(-c2ccc(F)cc2)o1,-17.327827435402014
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCCCCCCCCCCCC,-14.812526947730705
O=C(NCc1ccccc1)O[C@H]1O[C@H](CCl)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-45.70162983367754
C=C1C2=C(C)C(=O)O[C@@H](c3ccoc3)[C@]3(C)[C@@H](C)CC[C@H]1[C@]23C,-32.172302347815275
Cc1ccc(OCC(=O)NC[C@H]2CCCN3CCCC[C@H]23)cc1,-15.755897854356135
COC1=CC(=O)c2c(O)c(O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](OC(=O)c4ccccc4)[C@@H]3O)cc(O)c2C1=O,-33.11748544519742
C=C[C@](C)(O)[C@@H](O)C[C@H]1C(=C)[C@@H](O)[C@@H](O[C@H]2OC[C@@H](OC)[C@H](O)[C@@H]2O)CC1(C)C,-34.661859217459096
COc1ccc(-c2coc3c4c(cc(O)c3c2=O)OC(=O)C[C@H]4c2cc3c(cc2OC)OCO3)cc1OC,-13.985382643255434
O=C(Nc1ccccc1)N[C@@H]1CO[C@@H]2[C@H]1OC[C@H]2n1nnnc1-c1ccccc1,-15.228977461579689
CCCCNC(=O)c1cccc(-n2c(O)c3n(c2=O)[C@H](c2ccccc2OC)c2[nH]c4ccccc4c2C3)c1,-19.343373272891768
C[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)cc(O)c3c2=O)[C@H](O[C@H]2OC[C@H](O)[C@@H](O)[C@H]2O[C@H]2OC[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O,-25.321190190566995
COc1ccc([C@H]2C[C@@H](O)[C@@H](O)[C@H]2NC(=O)c2cccs2)cc1,-16.85755727868218
CC(C)=CCC[C@](C)(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)[C@H]1CC[C@]2(C)[C@H]1CC[C@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@H]3CC[C@@]12C,-16.360202515226774
CC(=O)OC[C@@H]1O[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,-11.520276611586269
COc1cc(C(=O)Nc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)cc(OC)c1O,-21.731328465953993
O=C1C[C@@H](c2ccc(OCc3ccccc3)cc2)c2c(c3ccc(OCCN4CCCCC4)cc3oc2=O)O1,-26.169401638577256
C=CC[C]S,-27.854988774546655
CCCCCCCC(=O)O[C@H](CCCCC[C@H](C[C@H](O)CCCCCC)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)CC(=O)O,-30.856723978419723
COc1cc([C@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)ccc1O,-14.65962869555915
CSCC[C@@H]1N[C@]2(C(=O)Nc3c(Cl)cc(Br)cc32)c2c1c(O)n(C1CCCC1)c2O,-23.61069456968471
CC1(C)CC[C@]2(C)CC[C@]3(C)C(=C2C1)CC[C@@]31CO1,-24.347735510760685
CC(C)(C)OC(=O)NCCSCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CC=C4CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C,-20.86473279909933
O=C1COc2ccccc2CN1C[C@H]1CCCO1,-21.068768400667977
COc1ccc2c(C)c(CC(=O)N[C@@H]3CCCc4c3[nH]c3ccccc43)c(=O)oc2c1,-14.25498990025244
C=C(C(=O)OC)[C@H]1CC[C@]2(C)CCC[C@](C)(O)[C@H]2C1,-16.036779512203793
COc1ccc(C(=O)O[C@@H]2[C@@H](O[C@H]3[C@H]4C=CO[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@H]4[C@@]4(CO)O[C@@H]34)O[C@H](CO)[C@H](O)[C@H]2O)cc1,-24.702073328852748
CC(C)=CCOc1ccc(-c2nc(N)nc3c2C=CC(C)(C)O3)cc1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-28.35789745247871
C[C@@H]1CC[C@@]2(OC1)O[C@@H]1C[C@H]3[C@H]4CC=C5C[C@@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O[C@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@H]1[C@H]2C,-16.415351506208026
CCOSSSC,-24.36967525072396
C=C1[C@H]2CC[C@@H]3[C@]4(C)CCC[C@](C)(C(=O)OC)[C@@H]4CC[C@]3(C2)[C@@H]1O,-16.594450219476585
C=C1C(=O)O[C@@H]2C[C@@H](C)[C@H]3[C@@H](OC(=O)CCCCCCCCCCCC)CC(=O)[C@]3(C)[C@@H](O)[C@H]12,-26.72954422993189
CC1(C)CC[C@@]2(C)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)C[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@@H]6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)[C@](C)(CO)[C@@H]5CC[C@]43C)[C@H]2C1,-24.21486764900328
O=C(O)CCCCC#CC#C/C=C/CO,-14.899567583517635
CC[C@@H]1C=C[C@@H]2C[C@H]1[C@H]2CCCCCCCCCC(=O)OC,-29.29595005593592
C[C@@H]1CCC[C@@H]2[C@@H](C)[C@@H]3CCC4=C5CC[C@@H]6[C@@H](C)[C@@H](O)CC[C@]6(C)[C@H]5CC[C@]43CN2C1,-33.52230374216015
CC(C)Cc1ccc(-n2c(O)c3n(c2=O)[C@H](c2cccc(O)c2)c2[nH]c4ccccc4c2C3)cc1,-19.903515349863483
C[C@H]1O[C@@H](OC[C@H]2O[C@H](OC(=O)[C@]34CCC(C)(C)C[C@@H]3C3=CC[C@H]5[C@@]6(C)C[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]7O)[C@@](C)(CO)[C@H]6CC[C@@]5(C)[C@]3(C)C[C@H]4O)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O,-24.559220965071745
O[C@@H]1[C@@H](O)[C@@H](OCc2ccccc2)OC[C@@H]1O,-17.827783211188944
CC(=O)O[C@H]1[C@H](OC(C)=O)[C@H](OC(C)=O)C=C[C@@H]1O,-18.07943042367333
CC(C)(O)[C@H]1Cc2c(ccc3c2O[C@H]2COc4cc(O)cc(O)c4C(=O)[C@]32O)O1,-18.38444342293542
CC(=O)OC[C@@H]1O[C@@H](O[C@@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@]5(C)[C@H]4CC=C4[C@@H]6[C@H](C)[C@H](C)CC[C@]6(C(=O)O)CC[C@@]45C(=O)O)C3(C)C)O[C@H](CO)[C@H](O)[C@H]2O)[C@H](O[C@@H]2O[C@@H](C)[C@H](O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@H]2O[C@@H]2OC[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]2O)[C@@H](O)[C@H]1O,-59.57215331635325
CC(=O)O[C@H]1C[C@@H]([C@@H](C)C[C@@H](OC(C)=O)[C@H]2OC2(C)C)[C@@]2(C)CCC3=C([C@H](O)C[C@@H]4C(C)(C)C(=O)CC[C@]34C)[C@]12C,-22.882475897274617
CCC(=O)NN/N=C(\C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](OC)CC[C@]4(C)[C@H]3CC[C@]21C,-28.838258559312635
COc1cc(OC)c([C@H]2c3c(n(C)c(=O)n(C)c3=O)Nc3cccc4c3c2cn4CC(C)C)cc1OC,-20.393987828897025
CCCCl,-13.091673011193052
CCc1ccc2c(Cl)cc(Cl)cc2n1,-20.89433855592506
