Molecule,Log-Likelihood
O=c1c2ccccc2nc(I)n1CCCc1ccccc1O,-24.993357049228507
OC[C@H]1O[C@H](O[C@H]2OC=C[C@@]3(O)[C@@H](c4ccc(O)c(O)c4)Oc4cc(O)cc(O)c4[C@@H]23)[C@H](O)[C@H](O)[C@H]1O,-32.20884821366599
Cc1ccc2c(c1C)CC[C@H]1[C@H]3CC[C@@](C)(O)[C@@]3(C)CC[C@@H]21,-20.09309110232425
C=C(C=O)[C@H]1CC[C@@H](C)[C@]12CCC(C)=C[C@@H]2O,-21.52791137775057
CC(C)(/C=C/C(=O)O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-17.797120598570473
COc1cc(CCNC(=O)c2ccc(N(C)C)cc2)cc2c1OCO2,-21.585883370556985
C=C1[C@H](O)CC[C@]2(C)[C@@H]1C[C@H]1[C@H](O)C3=C(C)C(=O)O[C@@]3(O)C[C@@H]12,-28.10461981995104
COc1ccc(C(=O)OC[C@H]2O[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)C(C)C)cc1O,-34.329077583137405
CC(=O)Nc1ccc([C@H]2OCC(=O)N(C)[C@@H]2CO)cc1,-12.918608128660708
C/C=C(/C)C(=O)O[C@@H]1C2=C(C)C(=O)OCC2=C[C@@H]1O,-27.30852571602736
CC(C)=C[C@]12C[C@@H](O)[C@H](C)[C@]1(O)CC=C(C=O)C2(C)C,-33.941509773638245
COC(=O)CC[C@H](c1ccc2c(c1)OCO2)[C@@]1(C(=O)OC)C(=O)OC(=O)C[C@@H]1c1ccccc1,-29.37414286693456
CC/C=C/C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCC,-21.43099548873215
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C,-13.848664354627545
Cc1cc(C(=O)c2ccc(OC(=O)COc3ccc4c(c3)CCC(=O)N4)cc2)no1,-34.01597253610453
CC1=CC[C@H](C(C)C)[C@@H]1C/C=C(\C)CC/C=C(\C)CO,-23.103616736065305
CCOC(=O)Oc1ccccc1,-16.990711901831673
C=C[C@H]1[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)OC=C(C(=O)OC)[C@@H]1CC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)cc1,-27.08721975329172
C/C=C/c1cc(OC)c(OC[C@@H](C)[C@@H](O)[C@@H](C)OC)c2c1C(=O)C[C@@H](c1ccccc1)[C@@H](c1ccc(O)c(OC(C)=O)c1C#N)O2,-65.4250204037453
CC/C=C/C/C=C/C=C/C=C/C=C/CCCCCCCC(=O)OC,-16.864978290293948
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@H]5CCCCC[C@]43C)[C@@H]2C1,-24.24306493498807
COc1ccc2[nH]cc(CCNC(=O)CCCc3c(C)c4cc5c(c(C)c4oc3=O)OCCCO5)c2c1,-22.03397796661011
C[C@@]12C[C@H](c3ccoc3)OC(=O)C[C@H]1O[C@@]1(C)[C@H]2CCC(=O)[C@@]12CO2,-26.54105761228857
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](OC[C@@]4(C)CC[C@]5(CO)[C@@H](O)C[C@]6(C)C(=CC[C@@H]7[C@]8(C)C[C@H](O)[C@H]([C@]9(C)C[C@H](O)[C@@H](O[C@@H]%10OC[C@H](O)[C@H](O)[C@H]%10O)[C@H](C)O9)[C@@]8(C)CC(=O)[C@]76C)[C@@H]5C4)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,-43.56513000735504
CC(C)=CCCCCN1CCOC1=O,-25.29189386012149
CC(C)[C@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](OC(=O)COc5ccc(F)cc5)CC[C@]4(C)[C@H]3CC[C@]12C,-20.297245482386643
COc1cc2nc(C)n(CC(=O)Nc3ccccc3)c(=O)c2cc1OC,-15.89798561479256
CCCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CCC[C@H](O)[C@H]2CC[C@H](CCCCCCCCCCCCC3=C[C@H](C)OC3=O)O2)O1,-22.018205982469222
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O[C@@H]9O[C@@H](C)[C@H](O)[C@@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,-25.108759408352853
CCOC(=O)C1=NN=C2C[C@@H](C1)C1=I[C@@]3(C2)C1=N[C@@H]3c1ccccc1,-49.79578700826096
CCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C,-16.781224017693603
C=C1C(=O)O[C@H]2CC(C)=C([C@H](C)CCCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@@H]12,-18.488088177538884
COC(=O)N1CCc2[nH]c3ccccc3c2[C@]12Cc1ccccc1N2C(=O)C1CCCCC1,-29.7274167129508
COc1ccc(CC(=O)NCCc2c[nH]c3ccccc23)cc1O,-15.299402255139285
C[C@H](CCC(=O)NC1CCCCC1)[C@@H]1CC[C@@H]2[C@H]3[C@@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@@H](O)[C@@]21C,-23.269285537568067
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-17.64730268900894
CC(=O)Oc1cc(OC(C)=O)c2c(=O)c(OC(C)=O)c(-c3ccc(Oc4cc(O)cc(O)c4C(=O)Oc4ccc(C(C)=O)c(O)c4)c(O)c3)oc2c1,-37.71983629975148
C=C1C[C@@]23CC[C@@H]4[C@](C)(CC[C@@H](O)[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3,-16.850324389892194
CO[C@@H]1C[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@H](C)[C@@H]1O,-16.297235186011676
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCC,-15.867084942452491
