Molecule,Log-Likelihood
C[C@@]12CC[C@@H](O[C@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O)C[C@@H]1CC[C@H]1[C@H]3CC[C@](C)(O)[C@@]3(C)CC[C@@H]12,-22.850367538194405
Cc1cc(O)c2c(c1)C(=O)c1c(C)cc(O[C@@H]3O[C@@H](CO[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)cc1C2=O,-22.720518879450537
Cc1cccc(-c2nnc3n2N[C@H](c2ccccc2)S3)c1,-12.891271069824144
COc1cc2c(CO)c3c(c(OC)c2c(O)c1CC=C(C)C)CN(C)C3,-28.32605966113624
CC(C)=CC[C@@]12O[C@]1(C(=O)c1ccccc1)[C@H](O)c1cc(O)cc(O)c1C2=O,-24.603356538693333
COc1ccc(C(=O)CCc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)cc1O,-17.129524381172814
CC1(C)[C@@H]2CC[C@@]1(C)C[C@H]2O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,-21.93261053047536
COc1cc(C(=O)c2ccc(OC(=O)c3ccc(OC)c(OC)c3OC(C)=O)cc2)cc(OC(C)=O)c1OC,-30.380811789174913
COC(=O)CSc1nc2c(C)cccc2n1C,-17.86801059352001
Cc1c2c(c3c(=O)n(-c4ccc(F)cc4)c4c(C)c5c(ccc4c13)OCO5)CCC2,-35.19288431854511
O=C(OCc1ccccc1)O[C@H]1[C@H](Br)[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1CO,-22.54471770895907
O=C1C[C@@H](c2coc3ccccc3c2=O)c2c(ccc3c2O/C(=C\c2cccs2)C3=O)O1,-14.0312267278714
COC(=O)C1(Cc2c(O)cc(O)c3c(=O)cc(-c4cnco4)oc23)CCCC1,-31.7074251735321
CCC(CC)C(=O)N1CC[C@@H]2CC(=O)Nc3cc(-c4cccnc4)ccc3OCC[C@H]2C1,-16.535897033540095
C=C(C)C/C=C/C(=C/Cl)CO,-18.925444546039216
CCCC[C@H](O)[C@H](O)/C(C)=C/[C@@H]1[C@@H](O)[C@@H](O)C(C)(C)[C@@H]1C/C=C/CCC(=O)O,-36.610755933154
CCCNC(=O)O[C@@H]1[C@@H]2C[C@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](OC(C)(C)C)[C@@H](O)[C@H](O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@H](C)CC1(C)C,-52.450142415138544
O=c1cc(-c2ccccc2)oc2c([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c(O)cc(O)c12,-16.198563463403843
CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3)C(C)C,-15.324475369150605
C=C1[C@H]2CC[C@@H]3[C@@]4(C)CCC[C@](C)(C(=O)O)[C@H]4CC[C@@]3(C2)[C@H]1O,-15.506848373803225
Cc1cc2c(c(C)c1CCO)CCC(C)(C)O2,-14.43765160665498
CCCNC(=O)CCC(=O)OC,-18.639943163725547
C[C@@H]1NC[C@]23C[C@H]1CC[C@@H]2[C@H]1CC[C@H]2[C@@]4(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@H]4CC[C@@]2(C)[C@]1(C)C[C@H]3O,-35.49186041584835
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)\C=C/[C@@]23O[C@]2(C)C[C@H](O)CC3(C)C)C(C)(C)C[C@](C)(O)C1,-28.946212755639863
CC(=O)Oc1ccc([C@@H](CC(=O)NCc2cccc3c2CCN3C(C)C)c2c(O)cc(C)oc2=O)cc1OC(C)=O,-37.93893958201079
COC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)C[C@H](O)[C@@H](OC(C)=O)[C@@](C)(COC(=O)CC(=O)O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H]4CC[C@]3(C)[C@]1(C)CC2,-41.24150654995901
CCOc1ccccc1/C=C1/Oc2cc(OC(=O)N(C)C)ccc2C1=O,-17.451988359811367
COc1c(OCC(C)=O)ccc2c3c(c(=O)oc12)CCCC3,-18.00348641160963
CC(C)(O)[C@@H]1O[C@H](O)[C@](C)(O)[C@H]2CC=C3[C@H](CCC4=CC(=O)OC4)[C@@]3(C)[C@H]12,-39.29216186616031
CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO)O[C@@H]3C[C@](C)(C=O)C[C@H]4c5ccccc5[C@]34O[C@@H]12,-50.65340539083627
COC(=O)c1cc2c(c(OC)c1OC)-c1c(cc(O)c(OC)c1OC)C[C@@H](C)[C@H](C)C2,-21.51916811611227
CC(=O)[C@]12O[C@H]1C[C@@H]1[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,-17.15503089324193
COc1ccc(NC(=O)N2CC[C@H]3CC(=O)Nc4cc(C)ccc4OCC[C@H]3C2)cc1,-16.861468103299558
C=C(C)[C@@H]1C[C@]2(C)C(=C)CC[C@H]2CC(=O)[C@]2(O)O[C@]12O,-37.82092502636078
C=C(C)[C@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@]43C)[C@H]12,-16.095035093818296
COc1cc(-c2oc3c(O)c(O)c(O)cc3c(=O)c2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,-19.908924415030924
COC(=O)COc1ccc2c3c(c(=O)oc2c1OC)CCCC3,-15.562824202279444
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2[C@H](O)C[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@@H](O)[C@]12O,-18.81580796827984
COc1cc2c(cc1OC)[C@H](CC(=O)Nc1ccc3cc[nH]c3c1)N(C)CC2,-20.473705347714713
COc1ccc(CCn2ccc3c(NC(=O)c4ccc(Br)cc4)ncnc3c2=O)cc1OC,-23.090740965995792
COc1cc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@H]4O)c(OC)cc3o2)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-22.792852774749917
C=C1C(=O)O[C@@H]2C[C@H](C)[C@H]3[C@@H](O[C@@H]4O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]4O)OC=C[C@@H]3C[C@@H]12,-26.124100606179127
CC1=CC[C@H]2[C@@H](C)[C@@H](O)CC(=C(C)C)C[C@]2(C)[C@H]1N,-38.16414624772369
COc1cc2c(cc1O)[C@@H](Cc1ccc(Oc3ccc4c(c3)OCO4)cc1)N(C)CC2,-15.774226335808637
Cc1ccc([C@H]2[C@](C)(O)[C@H](O)C[C@@H]3[C@]4(C)CC[C@@H](O)C(C)(C)[C@@H]4CC[C@]32C)cc1C,-31.755613254597847
CC1(C)[C@@H](Cl)CC[C@@H]2[C@]3(O)CC(=O)O[C@@H]3CC[C@@]21C,-31.34568057821525
CC(=O)O[C@H]1C[C@@H]2[C@H](CC=C3[C@@H](O)[C@H](C)CC[C@@]32C)[C@@H]2CC[C@H]([C@H](C)CCCC(C)C)[C@@]12C,-33.42550485828906
