Molecule,Log-Likelihood
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@@H]3CC[C@]4(C)[C@H]5CC=C6[C@@H]7CC(C)(C)CC[C@]7(C(=O)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)OC[C@@H](O)[C@H]2O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@H](O)[C@H]1O,-33.31828928752202
CC1(C)CC(=O)[C@]2(C)CC[C@]3(C)C(=C[C@@H](O)[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@]43C)[C@@H]2[C@@H]1O,-21.255041519259976
CC(=O)NCCNC(=O)Cn1ccc2cc(C(C)=O)ccc21,-23.57488764007576
CC1(C)C[C@@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]23C[C@H]1OC3=O,-28.263329589070057
C[C@]12CCC[C@](C)(C(=O)O)[C@@H]1CC[C@]13C=C(C(=O)O)[C@@](C)(CC[C@H]21)O3,-26.809345117537305
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,-13.005814031886985
CCCCCCCCCC[C@H](O)[C@@]1(O)C(=O)C=C[C@@H]1O,-16.64712616056204
CCCOc1ccc(C(=O)C[C@@H]2c3c(cc4c(c3OC)OCO4)CCN2C)cc1OC,-18.0759919844495
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC,-16.730445350694936
C=C1C(=O)C(C)(C)[C@H](c2c(O)cc3oc4cc(O)c(O)c(C=CC(C)C)c4c(=O)c3c2O)C[C@H]1O,-31.070281805759805
COC(=O)/C=C(/CC/C(=C\CC/C(C=O)=C\OC(C)=O)COC(C)=O)C(C)C,-32.62884963490433
COc1ccc(NC(=O)N2C[C@@H](COCC(C)C)[C@@H](c3nc(-c4ccc(-c5ccccc5)cc4)no3)C2)cc1,-25.91708649225893
COC(=O)c1ccnc(NC(=O)Cc2c(C)c3cc(O)c4c(c3oc2=O)CCC(C)(C)O4)c1,-25.523255188001713
COc1cc(CC[C@@H]2C[C@@H](O)C[C@@H](c3cc(O)c(O)c(OCC(C)C)c3)O2)cc(OC)c1O,-21.582475460818387
C[C@]1(CO)[C@@H]2CC[C@@]34CC[C@@H](CC[C@H]3[C@]2(C)CC[C@@H]1O)[C@](O)(CO)C4,-22.984841765166493
COc1ccc(OC)c([C@H]2[C@H]3CCCC[C@@]3(O)CCN2C(=O)c2ccc(Br)cc2)c1,-16.308572609300427
CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C,-15.039836032158746
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H](OC(=O)CCCCCCCCC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-19.79928158592884
CCOC(=O)CCN1C(=O)COC[C@@H]1[C@H](O)c1ccc(NC(=O)c2ccccc2)cc1,-16.53587379444798
COc1ccc(OC)c(-c2coc3cc(OC[C@@H](C)O)ccc3c2=O)c1,-19.969347805832513
CC1=C(C#N)O/C(=C\c2cc(Br)c(O)cc2O)C1,-29.18262509308988
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC,-14.713020077793772
CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C,-15.290711009019104
CC1(C)CC[C@]2(C(=O)O[C@H]3OC[C@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@H]5CC[C@@]43C)[C@@H]2C1,-24.684521387964196
CC[C@@H](C)CCCCCCCCCCCCCCCCC(=O)OC,-14.14247653633356
CCC=Cc1oc(O)c2c1C[C@@H](OC(C)=O)[C@H]2OC,-25.354741280083545
Cc1cc(=O)oc2c3c(ccc12)OCN(Cc1ccccc1F)C3=O,-18.02744084960068
COC(=O)C[C@@H](c1ccc(Cl)cc1)c1oc(CN2CCc3cc(O)c(OC)cc3C2)cc(=O)c1O,-20.47836950040073
O=C(O)c1ccc(N2COc3ccc4c(=O)c(-c5ccc(Cl)cc5)coc4c3C2)cc1,-17.22023967889254
C=C[C@@]1(C)C=C2CC[C@@H]3C(C)(C)C(=O)CC[C@]3(C)[C@@H]2CC1,-16.05396314112295
CC1=C(CO)C(=O)O[C@H]([C@@H](C)[C@H]2[C@@H](O)C[C@H]3[C@H]4CC=C5C[C@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC(=O)[C@]5(C)[C@@H]4CC[C@]23C)C1,-25.117068967469095
O=C(Cc1cccs1)NC[C@@H]1C[C@H]2CC[N@@]1C[C@@H]2CN1CCN(c2ccccc2)CC1,-18.886809341289336
CC(C)(O)[C@H](O)CC[C@@H](CO)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C,-16.05045316290125
C[C@H](CCC(=O)N1CCC(O)(c2ccccc2)CC1)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-17.287145887379666
COc1cc([C@@H](O)[C@@H](CO)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,-14.622156556464688
C[C@@H](CC[C@H](N)CC(=O)O)O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-21.39047760074027
Cc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2Nc2cc(Cl)ccc2C)o1,-33.79927461387342
