Molecule,Log-Likelihood
CC[C@H]1c2cc([C@@H]3NCCc4c3[nH]c3ccc(OC)cc43)cc(OC)c2O[C@@H]1c1ccc(OC)c(OC)c1,-24.439669152721763
COc1ccc(C(=O)COC(=O)c2ccc(O)cc2C#N)cc1,-21.73729241546243
CCCO[C@H](C)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,-29.446991143748164
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO[C@@H]3Cc4cc(O)c(OC)cc43)O[C@@H]2C)[C@@H]1CC(=O)O,-34.196867275983095
CCCCCNc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccccc1,-16.543288841843605
COc1ccccc1-c1c(C)cc(N(O)O)cc1O,-27.745440155267715
COc1ccc(CCNC(=O)CC2CCN(C(=O)c3ccccc3)CC2)cc1,-16.50449526438024
CCOC(=O)CCc1c(C)c2ccc(OCC(=O)c3ccc(C(C)C)cc3)c(C)c2oc1=O,-14.015287844114935
CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]23C[C@@H]1OC3=O,-14.13078243326163
COc1ccccc1O[C@@](F)(OC(F)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,-16.74420338694472
CC1=C2[C@@H](C1)[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]21C,-23.999028484802693
CC(C)c1ccc(-n2c(O)c(CC(=O)O)[nH]c2=O)cc1,-21.912716090213507
O=C(O[C@H]1OC[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1[C@@H](O)[C@@]1(O)CO)c1ccc(O)cc1,-30.182348086265847
C=C1CC[C@@H]2C(C)(C)[C@H](O)C[C@@]2(C)[C@@H]1CC/C(C)=C/CO,-23.651059549301863
CCCO[C@H]1CC[C@@H]2[C@H]3CC=C4CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C,-15.289822509672376
C=C/C=C\C/C=C\CCCCCCCCCc1cccc(OC(C)=O)c1C(C)=O,-33.08221827233501
Cc1ccc(C(=O)N[C@@]23CCC(=O)N2c2ccccc2C(=O)N3C)cc1C,-16.728885896751308
CCOC(=O)Oc1ccc2sc(=O)oc2c1,-17.018912004306912
CC(C)Oc1ccc(/C=C/C(=O)c2ccc3c(c2)OCO3)cn1,-20.54632745916024
O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,-14.191458305809649
CC(=O)OC1=CC=C(C(=O)CC(=O)c2ccc(C)cc2)C1=O,-22.710732834413648
O[C@@H]1[C@H](O)[C@H](n2cnnn2)N[C@H]1O,-22.629656749777496
CCC[C@H]1CC[C@]2(C)CC[C@]3(C)C4=CC(=O)c5c(cc(O)c(O)c5C#N)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,-21.907340058562113
CC(C)(O)[C@H]1Cc2c(cc3oc4c(O)c(O)ccc4c(=O)c3c2O)O1,-16.427430032767006
COCCc1c(C)[nH]c(C)cc1=O,-20.595524489879608
O=C(NCc1ccncc1)c1cc2c([nH]c3ccccc32)c(-c2ccc3c(c2)OCO3)n1,-12.352956175105646
Cc1ccccc1C(=O)N[C@@H]1CO[C@@H]2[C@@H]1OC[C@H]2OC(=O)NC[C@H]1CCCN2CCCC[C@H]12,-21.78685196256265
CC1(C)OC[C@@H]([C@H]2[C@@H](O)[C@H]3[C@H]2OC(C)(C)[C@@H]3O)O1,-26.086723959073424
CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1C3=CC[C@]3(C)CC[C@]12C,-25.623103160061873
O=C1CCC=C[C@]1(O)C(=O)OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-16.348466167226434
COc1ccc(-c2[nH]ncc2C(=O)NCCCCCCC2CCCCCCCC2)cc1OC,-28.979287335649133
