Molecule,Log-Likelihood
CC(=O)O[C@H]1[C@@H]2[C@@H](O)[C@H](C(C)C)[C@@H](OC(C)=O)C[C@]2(C)[C@H]1OC(C)=O,-23.8289867406711
COc1ccc(CNC(=O)c2onc(-c3ccc(F)cc3)c2[C@@H](C)O)cc1,-17.997676012259035
C=CCCCCCCCCCC(=O)C(=C)C,-17.37835739622824
CCc1cc(=O)oc2c3c(ccc12)C=CC(C)(C)O3,-15.712518218380865
C[C@@H]1O[C@@H](O[C@H]2[C@H](OC[C@@H]3O[C@@H](Oc4c(-c5ccc(O)c(O)c5)oc5cc(O)cc(O)c5c4=O)[C@@H](O)[C@@H]3O)O[C@@H](C)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,-19.745778761804104
COCOc1ccc(C(=O)N[C@H]2CNCCC[C@H]2O)cc1,-15.62031144183129
C=C1C[C@H](O)[C@@H](O)O[C@H]1C,-18.838184535503387
C[CH][C@@H](C[C@@H](O)c1ccc(OC)cc1)OC(C)=O,-25.372455432923744
C[C@@H]1CC[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@H]4OC[C@H](O)[C@@H](O)[C@H](O)[C@H](CC[C@]23C)C1(C)C,-31.604832864541095
COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O,-14.661226868629456
O=C1Nc2ccccc2[C@@]12C[C@@H](C1CCCC1)N2,-19.015002235770226
CN(C)CCCN[C@H]1[C@H](O)[C@@H](n2cc(Cl)cn2)[C@@H]2OC[C@H]1O2,-22.10700676869601
CCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,-14.854287239766563
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCC(C)C,-15.637681230989983
COc1ccc(/C=C2\Oc3c(ccc4c3CN(Cc3cc(OC)c(OC)c(OC)c3)CO4)C2=O)cc1OC,-11.267951412010008
CCCCCCCCCCCC(=O)OC[C@H](OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC(C)C,-24.086379049844258
COC(=O)COc1c(OC)cccc1[C@@H]1CC(=O)Oc2ccc3c(c21)O/C(=C\c1cccnc1)C3=O,-13.08286032725573
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1C=C[C@@]21C=C([C@@H](OC(C)=O)c2ccc(O)cc2)C(=O)O1,-16.217699539964087
Cc1cccc2c1CCN(C)C(OC(=O)CC(C)C)=C2,-26.223903845995665
COc1ccc(-c2cc3c(C(=O)C=Cc4cc(OC)c(OC)c(OC)c4)c(C=CC(C)C)c(O)cc3cc2O)cc1,-37.54859383404255
C[C@@H]1CCC[C@]2(O[C@@H](CCO)[C@H]2O)C(=O)O1,-21.971258937381208
CN1C=C1C[C@H]1CCNC[C@@H]1Cc1cc(-c2ccccc2)on1,-19.993119737599045
Cc1ccc(C)n1CC(=O)NC1CCN(Cc2ccc(Cl)cc2)CC1,-26.090215953066945
COc1ccc(NC(C)=O)cc1,-10.083562698215246
C=C[C@@](C)(O)CC/C=C(\C)CCC/C=C(\C)CC/C=C(\C)CC,-20.124305963516235
CC(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](O)[C@H]1O,-23.56423165462911
CCCCOC(=O)c1c(O)[nH]c2ccccc12,-15.726891164202245
CCCCCCCCCCCCCCC(=O)CCCCCCC,-13.591572672128676
