Molecule,Log-Likelihood
COc1cc([C@H](O[C@@H]2O[C@@H](CO)[C@@H]3[C@@H]2CO[C@H]3c2cc(OC)c(O)c(OC)c2)O[C@H](CO)[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c2ccc(O)c(OC)c2)ccc1O,-37.33790143794613
CC(=O)N1N=C(C(=S)NC(C)C)[C@@H](O)[C@@H]1O,-29.41348261386156
CC(=O)Nc1ccc(CN2Cc3[nH]cnc3C[C@H]2c2nc(-c3ccccc3)no2)cc1,-12.64557177684037
COc1cc(O)c2c(c1OC)C(=O)C1=C([C@@H]1O)[C@H](O)O[C@H]2C,-32.33537274226546
CC(C)C(=O)N1CCC2(C=C[C@@H]2c2ccccc2)CC1,-26.76141476631165
C[C@H](OC(=O)C1=CCCC1=O)c1ccc(O)c(O)c1,-27.589678385760635
C=C(C)[C@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@]5(C)CC[C@@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-19.517113447056545
CC(=O)Nc1cnn([C@H]2C[C@@H](COCC(=O)N(C)C)N(Cc3ccc(C(F)(F)F)cc3)C2)c1,-14.7484937091358
O=C1[CH]C[C@H](O)C=CC1,-19.69599688053131
CO[C@H]1C=C2[C@@H]3CC(C)(C)CC[C@]3(CO)[C@H](O)C[C@@]2(C)[C@]2(C)CCC(C)(C)[C@H]1C2,-23.831473913392983
CCOC(=O)c1ccc(-c2coc3c(C)c4oc(=O)c(Cc5ccccc5)c(C)c4cc23)cc1,-22.481354151379037
C=C1C[C@@H](C)[C@@](O)(CO)CC[C@H]2O[C@]2(C)CC/C=C(/C)CCC1=O,-30.00084534119742
Cc1c(CC(=O)NCCCCN=C(N)N)c(=O)oc2cc3oc4c(c3cc12)CCCC4,-16.488635370566044
C[C@]12C(=O)N(c3ccc(F)cc3)CC(=O)N1C[C@@H](c1ccc(Br)cc1)c1c2[nH]c2ccccc12,-14.993025615731312
CCC[C@](C)(O)NC(=O)OC[C@H]1CCN(C(=O)Cc2ccccc2)O[C@H]1CO,-42.827132403850555
CC(=O)NC1CCN(CCCCO[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H]2NC(C)=O)CC1,-24.623229020544382
O=C1CN(Cc2cccnc2)CCN1,-22.699501752853394
COC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,-11.40302462875843
CC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,-14.058866913605016
O=C(O)CC(=O)O,-12.45345950126648
CC1=C(CCc2ccoc2)[C@H](CCCc2cccs2)OC1=O,-22.274619998010166
C=C1C(=O)O[C@@]2(C)CC[C@@H]1C[C@H](O)/C(C)=C/[C@H](O)/C=C(\C)CC[C@@H]2OC(C)=O,-24.342464446410304
C=C1O[C@H]([C@@H](OC(C)=O)[C@H](COC(C)=O)OC(C)=O)C(C)=C[C@@H](OC(C)=O)[C@H]1OC(C)=O,-33.34035036851128
COC(=O)/C1=C/CC[C@@](C)(O)[C@@H]2O[C@@H]2CC/C(C)=C/C[C@H]1O,-25.7849127613008
COc1ccc([C@H]2COc3cc4c(c(O)c3C2)C[C@@H](O)[C@H](c2ccc(O)c(O[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c2)O4)cc1OC,-28.38751403641072
O=C(O)COCC(=O)N1CCCC[C@H]1c1cccnc1,-15.263660996686667
C/C=C(C)/C=C\C[C@H](C)OC(=O)CC(C)C,-18.082119120284915
