Molecule,Log-Likelihood
COc1cc([C@H]2Oc3c(ccc4c3[C@@H]3c5c(O)cc(O)cc5O[C@](c5ccc(O)cc5)(O4)[C@@H]3O)C[C@H]2O)cc(OC)c1O,-20.890195823216345
O=C(O)c1[c]([Sr+][C@@H](O)[C@H](O)CO)ccc(O)c1O,-34.567303646610526
CCCCC[C@]1(C)CC(=O)C=C2C[C@@H](C)CN[C@H]21,-33.85704256630561
CCCCCC/C=C\CCCCCCCC(=O)O[C@H](C)CCCCCCC,-19.749709716990765
CCCCCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCCCCCC,-15.94246163509888
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC,-18.718864723065053
CCOc1ccc([C@H]2CC(=O)Oc3cc(O)c4c(=O)cc(-c5ccc(OC)c(O)c5)oc4c32)cc1OCC,-19.125556345054065
CCCOC(=O)[C@]1(C)C[C@@](C)(CO)C=C(C)O1,-29.23418838499856
C#C/C=C\C[C@H]1O[C@@H](C[C@H]2O[C@H](C[C@@H](O)C/C=C\CC)CC[C@H]2C)[C@@H](Br)C[C@@H]1Br,-36.12745669560536
CC(=O)O[C@@H](C)CC[C@H]1OC(=O)c2cccc(O)c21,-22.451895454185433
Cc1ccc2c(c1)C(=O)C[C@H](c1ccc3c(c1)OCO3)O2,-15.727353501570178
COC(=O)COc1ccccc1[C@@H]1CC(=O)Oc2ccc3c(=O)c(-c4ccc(Cl)cc4)coc3c21,-15.29090575979717
C/C=C(/C)C(=O)O[C@H]1[C@H](OCC)O[C@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@@H]1O,-22.8131593089347
