Molecule,Log-Likelihood
CCCCC/C=C\C\C=C/C=C/C=C/C=C/C/C=C\CCC(=O)O,-17.339149623287085
COC(=O)c1c(O)cc2cc3c(c(C)c2c1C)OCO3,-20.88506528298967
CCCCC/C=C/C=C/C=C/C=C/OC[C@@H](O)CO,-18.68024626191618
C=Cc1ccc(Cl)cc1Cl,-17.712516596297064
C[C@@H]1CC[C@]2(C1)O[C@H]1C[C@@H]3[C@H]4C[C@H](C)[C@H]5C[C@@H](O)CC[C@]5(C)[C@@H]4CC[C@@]3(C)[C@@H]1[C@H]2C,-32.860937195167935
Clc1ccc(Br)c(-c2ccc(Br)nc2Cl)c1,-28.963393694968545
CCCCCCCCCCCCCC[C@H](O[C@H]1OC[C@@H](O)[C@@H](O[C@@H]2O[C@@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3NC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H]1O)[C@H](O)[C@@H](O)CO,-31.906600241709384
CCCCCCCCCCCCC[C@H]1Oc2ccccc2-c2oc3ccccc3c(=O)c21,-15.127164215577068
CC(=O)Nc1ccc(C(=O)Nc2ccc(C)cc2)cc1,-16.209663490189996
C/C=C/C/C(C)=C/[C@@H](C)CC,-19.92291416597436
C[C@H]1O[C@@H](O[C@@H]2CC[C@@]3(C)[C@@H](CC[C@H]4[C@H]3CC[C@@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@@]43O)C2)[C@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-18.18013479514775
Cc1cc(NC(=O)Cc2c(C)c3cc4c(C)coc4c(C)c3oc2=O)ccc1F,-16.53116703260457
COc1ccc(C(=O)COC(C)=O)cc1,-14.25638107542909
CCCCCCCCCCCCCCCCCCCC(=O)OCOC[C@H](COC(=O)CCCC)OC(=O)CCCCCCCCCCCCC,-28.923141627972655
CC1=C(CO)C(=O)O[C@H]([C@H](CO)[C@@H]2CC[C@@H]3[C@H]4C[C@@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@@H]4CC[C@@]32C)CC1=O,-23.77372605920027
COC(=O)C1=CO[C@@H]2OC=C(C)[C@@H]1[C@H]1[C@H]2C[C@H]1C,-29.956886246764043
CC(=O)N1CCN([C@@H]2[C@H]3OC[C@@H](O3)[C@@H](NC(=O)Nc3ccc(OC(F)(F)F)cc3)[C@H]2O)CC1,-17.39543265928296
C=C(C)c1c(O)c(O)c2c(c1O)C=C[C@]1(O)C(C)(C)CCC[C@@]21C,-14.70045617568394
COc1cc2c(c(OC)c1O)[C@H](c1c(O)[nH]c(=O)n(-c3ccc(Br)cc3)c1=O)N[C@@H](C(C)C)C2,-30.3074394562791
O=C(/C=C\c1ccccc1)O[C@H]1[C@@H](O)C[C@@H]2CC[C@]1(O)N2,-22.94576765193051
CCCCCCCCCCCOC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,-19.742224512940084
COc1cc2c(c(OC)c1OC)-c1ccc(NCCCC(=O)N3CC[C@H](NC(C)=O)C3)c(=O)cc1[C@@H](NC(C)=O)CC2,-16.938284403444413
C=C(c1c(C)coc1C)c1c(OC)c(C)c2c(O)c3c(O)ccc(O)c3c(O)c2c1O,-36.705943504894094
Cc1cccc(C)c1-n1c(=O)[nH]c(O)c([C@@H]2NCCc3c2[nH]c2ccccc32)c1=O,-15.913925422741158
CC(C)=CCOC(=O)C(C)(C)C,-15.673082856415933
O=C(O)CCC(=O)N1CCc2[nH]c3ccc(F)cc3c2C1,-16.70433436442545
COC(=O)N1CCCC[C@@H]1c1cccnc1,-15.062770801829174
CC(C)=CCC/C(C)=C/[C@@H]1C=C(CC(=O)c2c(O)ccc(C)c2O)C(=O)O1,-26.92443491610902
COc1cccc(C=C2Oc3c(ccc4c3[C@H](c3cccc(OC)c3OCc3ccccn3)CC(=O)O4)C2=O)c1O,-23.83311754900842
Cc1cc(OC(=O)C(C)C)c([C@]2(C)CCC(=O)C(C)(C)O2)c(Cl)c1C,-29.982646573749665
CCC[C@@H](O)[C@H](O)c1ccccc1,-16.254544598756183
C=C[C@]1(C)C[C@H](C=C(C)C)Oc2c1c(O)c1cc(OC)cc(OCC)c1c2O,-34.33220580159468
CC(C)CCc1c(C(=O)O)cc(O)c(O)c1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O,-20.77797569611539
