Molecule,Log-Likelihood
CC(C)=CCc1cc(CCC(=O)O)cc2c1O[C@H](C(C)(C)O)C2,-18.803621667131665
CCOc1c(F)c(F)c(F)c(F)c1F,-14.887408614027663
CCCCCCCCCCC[C@@H]1O[C@@H]2CN(C)CC[C@@H]2C2=C1CCCC2,-25.503731449876796
COc1c(O)c2c3c(c4ccccc4nc3c1OC)O[C@H](C(C)(C)O)C=C2O[C@H]1O[C@@](C)(CO)[C@@H](O)[C@@H](O)[C@H]1O,-43.14341210495695
Cc1noc(C)c1Oc1ccc(-c2cc(C(=O)NCc3cccc(F)c3)ccn2)nc1,-28.75070957078424
CCCc1cc(=O)oc2c3c(cc(OCC(=O)NC[C@@H]4c5ccccc5O[C@@H]4C)c12)O[C@H](C)O3,-34.313692576179164
COc1cc2c(c(OC)c1O)C(=O)N(C)CC2,-17.757553951538284
C[C@@H]([C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C)[C@H](O)C[C@H](C)C(C)(C)O,-24.0783385729992
CC[C@H](C)CCC[C@@H]1CC[C@H]2[C@H](C1)C[C@@]1(C)[C@H]3CC[C@H]4[C@@H](O)[C@H](O)[C@@H](O)C[C@]4(C)C3=CC[C@]1(C)[C@@H]2O,-43.0194462833806
C[C@@H](c1ccc2c(c1)CC[C@H]1[C@H]2[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C=CC(=O)O[C@@]21C)N(C)C,-24.381336367590848
O=C(O)C[C@@H](OC(=O)c1ccccc1)[C@H]1CCCCO1,-26.398095319185813
C=C1CCC[C@]2(C)CC[C@@H]3C(=C(C)C)[C@H](O)C[C@@]3(C)C[C@@H]12,-23.707892790152982
O=C(O)c1cc(O)c2c(O)cccc2c1,-17.111164556787116
CO[C@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](C)O[C@@H](O[C@H]3[C@@H](OC)C[C@H](O[C@H]4[C@H](C)O[C@H](O[C@H]5CC[C@@]6(C)C(=CC[C@]7(O)[C@@H]6C[C@@H](OC(=O)c6ccccc6)[C@@]6(C)[C@]7(O)CC[C@@]6(O)C(C)=O)C5)O[C@@H]4C)O[C@@H]3C)C[C@H]2OC)O[C@H](C)[C@H]1O,-24.005623546399875
COC(=O)/C=C/Cc1cccnc1,-18.934122774924617
O=C(Nc1cc(F)cc(F)c1)[C@@](F)(OC(F)(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,-17.51933014322276
CCCC[C@@H](O)[C@H](O)/C=C/C1=C(\C[C@H](O)CO)[C@H](CCC[C@@H]2N[C@@H](C)CCC[C@H]2CC(=O)O)N[C@@H]([C@@](C)(O)C2(c3ccc(O)cc3)CCCCC2)CC#Cc2ccccc2CC[C@H]1CC(=O)O,-29.607188341760775
Fc1cc(C(F)(F)F)cc(C(F)(F)F)c1Br,-21.77811142634891
COc1ccc([C@@H]2CC(=O)Oc3ccc4c(=O)c(-c5ccccc5F)coc4c32)cc1,-16.637316906060732
O=C(Nc1ccccc1)O[C@@H]1CO[C@H]2[C@H]1OC[C@H]2n1nnnc1-c1ccc2c(c1)OCO2,-16.998062580074475
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=C[C@@H](OC(=O)CNC(=O)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@@]21C,-29.091118489028304
CI(CCCCCCCCCCCCC(C)(C)C)Oc1c[nH]c2ccccc12,-36.34007955621928
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CC,-21.818076249273872
OC[C@@H]1O[C@H](c2c[nH]c(N3CCN(c4ccc(Cl)cc4)CC3)n2)[C@H]([C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,-47.92971534616299
CC1=C[C@@H](CNC(=O)c2ccc(C)cc2)[C@H](C(C)C)C[C@H]1Cc1nnc(C)o1,-17.83129847289456
CCCCN(C)C(=O)C(C(F)(F)F)C(F)(F)F,-13.417024486057926
CC(=O)Oc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,-19.237959733703978
CCOc1cc2c(cc1OCO)CCN(C(=O)c1ccc(Cl)cc1)[C@@H]2Cc1ccc(OC)c(OC)c1,-26.47048638972774
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@H]3CC[C@](O)(C#Cc4ccccc4)[C@]3(C)CC[C@@H]12,-16.716507487948547
