Molecule,Log-Likelihood
CC(=O)OCC1=CO[C@@H](OC(=O)C[C@@H](C)O)[C@H]2C1=C[C@@H](OC(=O)CC(C)C)[C@]2(COC(C)=O)C(=O)O,-30.235730176209472
O=C(CCN1C(=O)c2ccccc2N2C(=O)c3ccccc3[C@H]12)Nc1ccc(Cl)cc1Cl,-18.272100674272224
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCC,-16.050238323292433
CC(C)Cc1ccc(-c2ccc(C=O)cc2-c2ccc(N)cc2)cc1,-25.25415945146233
CCc1ccc(C)cc1-n1cc(CC(C)C)c2nc3cc(C)c(C)c(C)c3cc21,-39.24292964831693
C#C/C=C/CCCCC(=O)CCCCCCCCCCCCCCCC,-22.510794139583595
COC(=O)c1cccc2nc(-c3ccc(OC)cc3)c(O)c(CO)c12,-27.705021959351143
COc1c(C)c(O)cc2c1C(=O)c1c(O)cc(O)cc1C2=O,-14.152489764237544
O=C(CO)Nc1cccc(OC(CO)CO)c1O,-28.173275362918503
C=C[C@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(CO)CC[C@H](O)[C@]23C)C1,-18.85136215089733
C=C(OC)OC,-14.943160861730576
O=C(Nc1ccc(-c2ccc(F)cc2)cc1)C(Cl)(C(F)(F)F)C(F)(F)F,-18.02892198383779
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC,-14.658344896306517
CCSCCSCCSCCSCC,-15.041659116744995
CC(=O)OCC(=O)[C@]1(OC(C)=O)CC[C@H]2[C@H]3CC=C4CC(=O)CC[C@]4(C)[C@@H]3[C@@H](O)C[C@](C)(O)[C@H]21,-27.568714163797267
Cc1ccc(-c2ccc(Oc3c(C)oc4cc(OCc5ccc(Br)cc5Cc5ccccc5)ccc4c3=O)o2)cc1,-33.6499060593851
COc1ccc(-c2cc(=O)c3c(O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,-16.170834344811738
CN1CCC(N[C@@H]2c3ccccc3C(=O)N2CCc2ccccc2)CC1,-20.986521301208995
C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C=C[C@H]4[C@H](O)[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)O,-26.556208866564702
COc1cc2c(c(OC)c1OC)CN(C)C(=O)C2=O,-20.98989716405777
COC(=O)CCNC(=O)C[C@]12CC[C@](C)(C(=O)C1)C2(C)C,-18.32499514376832
CC(C)c1ccc2c(c1)CC[C@@H]1[C@@](CO)(C(=O)O)CCC[C@]21C,-17.41611979755544
O=C(O)CSCC(=O)N1CC[C@H](c2nc3ccccc3o2)C1,-17.985291589713597
CCCCCCCCCCCCCCCCCC(=O)Oc1c(Br)cc(CCNC(=O)CO)cc1I,-27.652107779678772
C=C(C)[C@H]1CC=C2CCC[C@@]3(C)CCC[C@@](C)([C@@H]1CC1CCCCC1)[C@H]23,-37.07324592518853
