Molecule,Log-Likelihood
COc1ccc(CCC[C@H](C)[C@H](C)O)cc1OC,-22.355285242199898
CC1(C)C=Cc2c(c3ccccc3oc2=O)O1,-12.277417132347182
Cc1c(C)c2c(c3c1O[C@](C)([C@@H]1CC[C@H]4[C@]1(C)CC[C@H]1C(C)(C)[C@@H](O)CC[C@]41C)O3)OC2=O,-30.719890851527452
C=C1C(=O)O[C@@H]2/C=C(/CO)CC/C=C(/CC/C=C(\C)CCC=C(C)C)CC[C@@H]12,-16.78655289110884
O=C1/C(=C/c2ccco2)Oc2cc(OC(=O)c3ccccc3C(=O)O)ccc21,-19.428664149716496
C=C1CC[C@@H]2O[C@]2(C)CC[C@@H]2[C@@H]1C[C@@]2(C)CC[C@H](O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(C)(C)OC(C)=O,-26.343227356655916
CCCCCC(=O)Nc1ccccc1C(=O)NCC(=O)O,-20.885407000780106
CC(=O)O[C@@]1(C(C)C)[C@@H](OC(=O)/C=C/c2ccccc2)C[C@H]2[C@H](C)CC[C@H]2[C@@]2(O)C[C@@H](C)[C@@]3(C)C(=O)O[C@@H]1[C@H]23,-43.796451469359454
CC1(C)[C@](C)(C[C@@H](O)[C@H](O)CO)CC[C@]1(O)C(=O)O,-27.710683478042483
CC[C@@H]1C[N@@]2CC[C@H]1C[C@@H]2CNC(=O)CCCC(=O)O,-14.995789507869633
COc1cc(CO[C@H]2[C@@H](O)[C@H](OC[C@H]3O[C@@H](Oc4c(-c5ccc(O)cc5)oc5cc(O)cc(O)c5c4=O)[C@H](O)[C@@H](O)[C@H]3O)O[C@H](CO)[C@H]2O)cc(OC)c1O,-25.723310377448797
COc1ccc(-c2cc(=O)c3cc(NC(=O)CC(=O)Nc4ccc(Br)cc4)ccc3o2)cc1,-23.063560337293893
O=c1oc2c(CN3CCOCC3)c(O)c(O)cc2c2ccccc12,-21.90554689669079
C=CC(C)(C)OC[C@H]1O[C@H](O[C@@H]2CC[C@H]3O[C@]3(C)CC[C@]3(C)CCC(C(C)C)=C23)[C@H](O)[C@@H](O)[C@@H]1O,-28.45763339102268
OC[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](CO)O[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1O,-17.81930535286665
C=C(C(=O)O)[C@H]1CC[C@H](C)CC1,-14.728479892015455
CC(C)CCCCNCc1ccco1,-18.87366469274275
C/C=C/C=C/[C@H]1CC=CC(=O)O1,-17.54675124133064
COc1cc(C)c(OC)c(C/C=C(\C)Cc2csc(C)n2)c1,-23.052365431562063
CC(=O)OCC1(O)CCN(C(=O)c2cccc(C)c2)CC1,-18.088864609599113
CC1(C)[C@H](O)CC[C@]2(C)[C@H]3CC=C4[C@H]5C[C@@](C)(C(=O)NCC(N)=O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,-22.01405682969198
O=C(/C=C/c1ccc2ccccc2c1)c1ccccn1,-18.48014984477777
C=C(/C=C/[C@H]1CC[C@@]2(CC[C@@H]3C(Cc4ccnc(NN)c4)=C3C2)[C@@H]1O)CCC=C(C)C,-40.70079207071103
O=C(OCCc1ccc(O)cc1)c1ccc(O)cc1O,-14.632862262427809
C=C1CC[C@H]2[C@@](C)(CCC[C@]2(C)C(=O)O)[C@H]1CC[C@@H](C)CC,-20.8111919015646
COc1ccc(CN2COc3ccc4c(=O)c(-c5ccc(OC)cc5)coc4c3C2)cc1,-13.959236957831308
C[C@@H]1CC[C@H]([C@@H](C)[C@H]2[C@H](O)C[C@H]3[C@@H]4CC5(CCCCC5)C[C@H](O)[C@H]4CC[C@]23C)NC1,-31.744069648964796
C[C@H]1CC[C@@H]2Oc3cc(O)ccc3C2=CO1,-23.131742323748767
CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC,-16.354390462118317
O=C1C[C@H](c2ccccc2)NCCCNCCCCNCCCN1,-12.876381613314152
COC(=O)C[C@@H](c1ccc(OCCc2ccc3c(c2)CCO3)cc1)c1c(O)[nH]cc(-c2ccccc2)c1=O,-21.695016245033912
COc1cc(CC[C@H](O)CC(=O)CCc2ccc(O)c(Cc3ccc[nH]3)c2)ccc1O,-16.512979085324332
Cc1oc2ccc(OCc3c(F)cccc3F)cc2c1C(=O)O,-17.60390018299222
Cc1cc(O)c(C)c(C=O)c1O,-15.30797491967678
C=C1C(=O)[C@@]23CC[C@@H]4[C@H](C)CN[C@@]4(O2)[C@H]3C=C[C@H]1OC(=O)CC(=O)O,-41.549402840435505
COc1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@H]1CC2,-15.99386228621006
C=C(C)[C@H](O)Cc1c[nH]c2c(=O)c3cccc(C)c3[nH]c12,-29.311567014639877
COc1ccccc1NC(=O)NC[C@@H](Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21,-24.932930238443987
CC(=O)N[C@H]1[C@H](O)[C@H](O)C[C@@H]1c1ccccc1O,-15.80441527068615
CC(C)[C@H]1CC[C@H]([C@@H](O)c2ccoc2O)O1,-23.837670266597343
COc1ccc(CCNC(=O)c2ccc3ccn4c3c2-c2cc(OC)c(OC)cc2SC4=O)cc1OC,-26.702689827652648
CC(=O)OC[C@@H]1O[C@H](O[C@H]2[C@@H]3O[C@H](OC(C)(C)[C@@H](OC(=O)C(C)C)[C@@H](O[C@@H](C)[C@@H](O)COC(C)=O)O[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]4O[C@H](O[C@@H]2COC(C)=O)[C@@H]4O)[C@H](O)[C@@H]3O)[C@H](O)[C@H](O)[C@H]1O,-70.84531519189477
CC(=O)O[C@H]1CCc2c(CC#N)coc21,-28.34837019066981
C=C1C(=O)O[C@H]2[C@@H]1CC[C@@](C)(O)[C@H]1CC[C@@](C)(O)[C@@]21C,-22.97981209307909
CC(=O)C1=C(C(C)C)CC[C@H](C)C1,-21.291381964925677
COc1cc(O)cc(-c2ncnc(N)c2NC(=O)c2ccccc2NC(C)=O)c1,-32.97741957753897
O=C(NC[C@@H]1CCCN2CCCC[C@@H]12)c1cc(-c2ccccc2)no1,-16.360845449002227
COc1cc2oc3c4c(cc(O)c3c(=O)c2c(O)c1CC=C(C)C)C(C)(C)[C@H](C)O4,-24.021631930670992
CCOC(=O)CCNC(=S)c1c(C)oc2ccc(OCc3ccc(C)cc3)cc12,-25.928605359003996
COc1cc([C@@H]2CO[C@@H]3[C@@H](O)[C@@H]2[C@]2(C[C@@H](OC)[C@@H](O)[C@@H]2O)[C@@](C)(O)N(C)C(=O)C32C(=O)N(C)C2=O)ccc1O,-55.175985789479455
CC1=C[C@@H](CN2CCN(c3ccc(F)cc3)CC2)[C@H](C(C)C)C[C@H]1Cc1nnc(-c2ccccc2F)o1,-17.25345040152024
