Molecule,Log-Likelihood
COc1cc2c(cc1OC)CCN(C(C)=O)[C@H](c1ccc(O)cc1O)[CH]2,-29.325835293828277
C[C@H](O)CC[C@H](N)NCO,-26.460952430963516
C=C(C)[C@H](O)[C@@H](O)c1c(OC)ccc2c1O[C@@H](c1ccc(O)cc1)CC2,-22.415305469476152
COc1ccc(C(=O)O)cc1C=C(C)C,-15.683725018054249
O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2C[C@@H](O)c1ccccc1,-14.854786121984944
C=C1C(=O)O[C@H]2C/C(C)=C/C/C=C3/C4=C(COC(=O)CC(C)C)O[C@](C)(C[C@@H]3OC(C)=O)O[C@@H](O4)[C@H]12,-43.360133574999054
C[C@@H]1CC[C@]2(NC1)O[C@@H]1C[C@@H]3[C@@H](CC[C@]12C)[C@@]1(C)CC[C@H]2[C@@H](CC[C@@]31C)C[C@]2(C)CO,-30.030247185975895
C[C@@H]1O[C@@H](O[C@@H]2C[C@H](O)[C@](O)(CO)O2)C[C@@H](OC(=O)C=Cc2ccc(O)cc2)[C@H]1O,-35.473505056797876
C=C1C(=O)O[C@H]2C[C@]3(C)O[C@@H]3CC/C(C)=C/[C@H](O)[C@H]12,-15.583362803852651
COCCC(=O)NC[C@@H]1C=C(C)[C@H](Cc2nnc(-c3cncn3C)o2)C[C@H]1C(C)C,-15.838453703720006
COc1c(C)cc(O)c(C)c1C=O,-15.24331468413584
C\C(=C/C=C/C=C/C=C/[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)[C@H](O)CC[C@]21C)CCC/C(C)=C/CC=O,-41.14480673332582
CC1=CC2=C(CO1)C(=O)[C@@](C)(OC(=O)c1c(C)cc(O)cc1O)C2,-19.454339388757944
C[C@H](O)[C@H](O)[C@@]1(O)c2ccccc2-n2c1nc1ccccc1c2=O,-21.439350072541856
C[C@@H]1CCO[C@]2(C1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CCCC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,-25.119202236477577
CCc1ccc2c(c1)[C@]1(N[C@H](CC(N)=O)c3c1c(O)n(Cc1ccccc1OC)c3O)C(=O)N2,-19.478816916860524
Cc1cnc(C(=O)OC[C@@H]2CCCN3CCCC[C@H]23)s1,-18.102220946690068
C[C@]12CC[C@H]3[C@](CC[C@H]4C[C@H](O)CC[C@]43C)(C1)O2,-29.15919802116696
C=C[C@@](C)(O)CCC1=C(C)CC[C@H]2[C@](C)(C(=O)O)CCC[C@]12C,-17.663874031510204
Cc1c(CC(=O)N[C@H](CO)c2ccc(Cl)cc2)c(=O)oc2cc3occ(C(C)(C)C)c3cc12,-20.858962953774608
COc1ccc(-c2coc3c4c(cc(O)c3c2=O)OC(=O)C[C@@H]4c2ccc(Br)cc2C)cc1OC,-22.26807235283195
C[C@@]12CC[C@@H]3[C@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@H]2O,-15.944396864666489
COc1cc(C[C@H](CO)[C@@](C)(O)Cc2ccc3c(c2)OCO3)cc2c1OCO2,-21.74446464474022
COc1cc(O)cc(C(=O)O)c1O,-14.22438347991556
C=C[C@@](C)(O)/C=C/[C@H]1C(=C)CCC[C@H]1C,-19.086753836018033
COc1ccc(/C(=N\C=C\c2ccccc2)c2ccccc2)cc1OC,-21.513434429827612
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)COc5c(Br)cc(Br)cc5Br)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-19.536580377862265
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=C/C(=N/OCC(=O)NC[C@@H](O)c5ccc(C)cc5)CC[C@@]4(C)[C@H]3CC[C@@]21C,-21.87242476271058
C=C1C[C@]23C[C@H]1CC[C@H]2[C@]1(C)CCC[C@](C)(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1C[C@H]3O,-17.05746995320078
CC(=O)O[C@@H]1C[C@@H]2C[C@H]1[C@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,-27.75798543053679
Cc1cc(O)c2c(O)c3c(cc2c1)=C[C@@H](O)CC=3,-19.417172268382274
COc1ccc(OC)c(NC(=O)C(=O)NCCc2cc(OC)c(OC)c(OC)c2)c1,-20.56160014550551
CC[C@H](O)CCCCOC(C)=O,-17.401198222185485
C/C=C(\C)C(=O)OC/C=C/[C@]1(O)C(=O)CC[C@@H](O)[C@@H]1O,-29.290364519227296
COC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=C[C@@H](O)[C@H]3[C@@]4(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]4CC[C@@]3(C)[C@@]1(C)CC2,-26.025132567592664
C/C=C1\CN2C(=O)c3cc(OC)c(OC)cc3N[C@]2(C)C1,-20.76595004851697
COc1ccccc1[C@@]1(CCC(=O)O)CCOC(C)(C)C1,-16.080111446557567
COC(=O)c1ccccc1NC(=O)COc1cc(O)c2c(c1)OC(C)(C)CC2=O,-16.809886432311032
O=c1cc(-c2cc(Cl)c(O)c(Cl)c2)oc2cc(O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,-19.093897786180605
