Molecule,Log-Likelihood
CCCC(=O)OC[C@@H]1COc2c(cccc2OCN(CC)CC)C1,-30.41173746297136
COc1ccc2c(c1)[C@H]1N(CC(C)C)C(=O)N3CC[C@]1(C3)C(=O)N2C,-18.921719784280867
O=c1[nH]c(=O)n(-c2ccco2)c(O)c1C1=NN[C@@H](c2ccc(Cl)cc2)C1,-24.90842770319432
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O[C@@H]7O[C@H](C)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@H]1[C@@H]2C,-27.722193627269007
CC(=O)O[C@@H]1[C@H](O)[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@H]1O,-18.52274265885353
CC(C)=CCc1cc(O)cc2c1C(=O)C[C@@H](c1ccc(O)cc1O)O2,-19.77475483676244
C=C(CCC=C(C)C)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,-16.166366156190634
CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC=C3[C@@H](O)[C@H](C)CC[C@H]32)[C@@]1(C)CO,-26.444838698022068
OCCCO[C@H](Cl)Br,-23.892500950954854
COc1ccc2c(c1)[C@]1(CCN(C(=O)Nc3ccc(Cl)cc3)C1)C(=O)N2C,-14.264230496337404
C=C1CCC[C@]2(C)CC[C@H](C(C)(C)OC(C)=O)C[C@@H]12,-16.682646970264614
C/C1=C\[C@H]2O[C@H]2[C@@H](O)C/C=C/C=C/C(C)(C)[C@@H](Cl)[C@H]1Cl,-42.34681108122459
CNCCc1cc2c(-c3ccccc3)cc(=O)oc2cc1O,-18.95759081467986
C[C@@H]1[C@@]2(C)C[C@@H](CO)C(CO)=C(CO)[C@H]2CC[C@]1(C)O,-30.22421954094898
N#Cc1cccnc1CC(=O)N1CCCC[C@@H]1c1cccnc1,-22.8500255572726
COc1ccc(C[C@H]2CO[C@@H](OC(=O)C(C)(C)OC(C)=O)C2)cc1OC,-31.159020873717964
COC(=O)C1=C[C@H](O)C[C@@H]2[C@]34COC(=O)[C@]3(C=O)[C@]4(C)CC[C@@]12C,-29.300078361760825
COc1cc(/C=C/C(=O)O)c2c(c1)OC(C)(C)C=C2,-19.517097110954637
C[C@@H]1[C@H](C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C(=O)O)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,-21.79114317032509
CCCCNc1nc2c(s1)C[C@@H]1[C@](C)(CO)[C@H](O)CC[C@@]1(C)[C@@H]2CC1=Nc2c(O)cccc2CC1,-28.272983409347944
COc1c(O)cc(CCNc2ccc(O)cc2)c(O)c1C(C)=O,-20.85202886071056
CC(=O)Nc1ccc(C(=O)N2CCC3(CC2)Nc2ccccc2-n2cccc23)cc1,-17.761648312211037
O=C(NC(=S)NNc1ccccc1-c1ccccc1)C(Cl)Cl,-29.069964420661563
C=C1C(=O)O[C@H]2[C@H]1[C@@H](O)C/C(C)=C\CC/C(C)=C/CC[C@]1(C)O[C@H]21,-17.05720743375423
CCOc1cc(CNC(=O)c2ccc(-c3nccc(OCc4ccccc4C)n3)cc2)ccc1OC,-24.544906494091265
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC,-17.02921865938697
COc1c(C)cccc1O,-16.969401210546494
CC(=O)O[C@H]1[C@@H](OC(=O)CC(C)C)C[C@@](C)(O)[C@@]23C[C@@H](C[C@H](OC(=O)/C=C/c4ccccc4)[C@]12C)C(C)(C)O3,-14.33545275882352
CCCOc1ccc([C@@H]2CN3C(=O)CN(Cc4ccc(C)cc4)C(=O)[C@]3(C)c3[nH]c4ccccc4c32)cc1OCC,-13.165954908618003
COc1ccc(-c2cnc(N)nc2-c2ccc(OCc3cccc(SC)c3)cc2O)cc1OC,-17.80122180545004
Cc1ccc2c(O)c(C(=O)CN3Cc4ccccc4C3=O)ccc2c1,-17.182841077446938
C=C(CC[C@@H](C)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,-14.097482110606506
CC(C)=CC(=O)O[C@H]1CC(C)(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]12C(=O)O,-13.917390631511807
CCCC(=O)c1c(OC)cc2ccc(=O)oc2c1O,-14.628634572029114
COc1c(O)cc2oc(=O)c3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2c1OC,-20.4468256207183
Cc1ccc(NC(=O)c2ccccc2COc2ccc3c(c2)O/C(=C\c2ccc(C)o2)O3)cc1,-28.220790460705757
C/C=C(/C)C(=O)O[C@H]1CC[C@H]2[C@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OO)C[C@]12C,-27.77560190259828
C=C1CC[C@@H](O)[C@@H]2C[C@]13CC=C(C)[C@]2(O)CC3(C)C,-27.491141994018108
CCN1N=C(c2ccccc2)c2c(Cl)cc(C(N)=O)c(O)c2[C@]12CC[C@](O)(C(C)C)C2,-43.48279855935834
Cc1ccc(C(=O)NC(c2ccccc2)c2ccccc2)cc1,-18.43226451484952
COC[C@H]1CCCN1[C@@H]1[C@H](O)[C@H](CO)O[C@@H]1C=NO,-18.21486562470818
C=C1CC[C@H](O)[C@]2(C)CC[C@@H](C(C)C)C[C@@H]12,-12.955429612135047
COc1ccc2c(c1)cc([C@H]1CCOC(C)(C)C1)n2C,-19.573646403849125
COc1cc(OC(C)=O)c2c(O)c3c(cc2c1)C[C@@H](C)O[C@H]3OC(C)=O,-20.88955495506525
CC(C)=CCCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,-16.41522119170986
CCOc1cc([C@H]2COCN2)no1,-21.575859086122364
CC(=O)NCCNc1cc(Cl)ccc1C,-23.055306753201876
O=C1C[C@H](c2ccccc2)Oc2cc(O)[nH]c21,-21.62462719384348
COC(=O)c1ccc(O[C@H]2O[C@H](C)[C@@H](OC)[C@H](OCc3ccccc3)[C@H]2[C@@](C)(O)C(Cl)(Cl)Cl)cc1,-48.37148445798084
CO[C@]12OC(=O)C=C1CC[C@@]1(C)[C@@H](C)CC[C@H]2[C@]1(C)OC(C)=O,-24.957834558998
O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@@H](CO)O[C@@H](CO)[C@H](O)[C@@H]3O)c(O)cc(O)c12,-17.691796419909224
O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c(O)c12,-17.655217870968045
CC(=O)c1cc2c(cc1O)OC(C)(C)CC2,-14.082995702512562
CC(C)[C@H]1CC[C@@H]2[C@@]1(C)CC[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]21C,-15.12480676517589
C[C@H]1[C@H](O)C[C@@H]2[C@]1(C)CC[C@H]1[C@@]2(C)CC[C@@]2(C)CC[C@@]3(C)CC[C@]3(C(=O)O)CC[C@]12C,-24.99017895408906
CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)C1(C)C,-19.61457548389444
CC(=O)OC[C@@H]1O[C@H](Oc2cc3c(c(O)c2C)C(=O)C(=O)c2ccccc2C(=O)C3=O)[C@H](O)[C@@H](O)[C@@H]1O,-31.35346075333655
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)C[C@@H](OC(=O)[C@@]3(C)O[C@@H]3C)[C@H]12,-16.88061135881435
CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@H]3[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]32)C1,-14.12690235680202
C=CCOc1cc(C)cc(OC)c1C(=O)OCC,-21.912707451730967
C=C1C(=O)O[C@H]2C[C@]3(C)O[C@@H]3CC/C(COC(C)=O)=C\[C@H]12,-16.737544211999193
CC(C)CC[C@]1(CNCCC(=O)O)CCO[C@@H](C(C)C)C1,-23.26486210734583
CCOc1cccc2cc(-c3cc(=O)oc4cc(C(=O)OC)ccc34)c(=O)oc12,-16.886707684607245
C=C1CC[C@@H]2O[C@@]2(C)CC[C@H]2[C@H]1C[C@H](C)CC2(C)C,-18.549287110567093
CCCCC/C=C\[C@@H](OO)c1ccccc1,-22.145293045789003
C[C@H]1C[C@H]2[C@@H]3CCC4=C/C(=N\OCC(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-17.805918488680618
CC[C@H](/C=C/[C@@H](C)[C@@H]1CC[C@H]2C3=CC[C@@]4(O)C=CCC(=O)[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,-21.326959350612015
CNC[C@H](O)c1cc(NC[C@@](C)(O)CCOC)ccc1O,-17.439568599686027
C[C@@H]1C[C@@H](O)C(C)(C)C(=O)O1,-16.692246215068735
CC(=O)O[C@@H]1C[C@@]2(C)C(COC(=O)CC(C)C)=CO[C@H](OC(=O)CC(C)C)[C@@]2(C)[C@@]12CO2,-21.711272030486725
CO[C@H]1[C@H](O)[C@H](Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)cc4)oc3c2)O[C@H](COC(C)=O)[C@H]1O,-24.34707283973694
COc1cc(/C=C/C(=O)N2CC[C@]3(O)CCCC[C@@H]3[C@@H]2OC(=O)/C=C/c2ccccc2)cc(OC)c1OC,-22.96334908530116
COc1c(-c2ccc(O)cc2)oc2c(O[C@@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(O)ccc2c1=O,-19.953869006130844
C=C(C)O[C@H]1/C(C=O)=C\CC/C(CO)=C/[C@@H]2OC(=O)C(=C)[C@@H]2[C@@H](OC(=O)/C(=C/CO)CO)[C@H](C(C)(C)O)CC/C(C)=C\[C@H]1OC(=O)/C(C)=C\C,-46.19179862202145
COc1ccc(Cn2oc(=O)c(CC(=O)N(CCC(C)C)CC(=O)O)c(-c3cccs3)c2=O)cc1,-30.40666800737381
CCc1cc(=O)oc2cc(C)c(OC[C@@H](O)c3ccc(F)cc3)c(O)c12,-21.820385573744716
C=C1C(=O)[C@@]23[C@H](O)C[C@@H]4[C@](C)(COC(C)=O)CC[C@H](O)[C@@]4(CO)[C@@H]2CC[C@@H]1[C@H]3O,-13.451193659479031
C[C@H](CC[C@H](O)[C@]1(C)C[C@@H]1O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,-28.014143410371616
COc1ccc(C(=O)Nc2ccc([C@@H](O)[C@H]3COCC(=O)N3Cc3ccc(C)cc3)cc2)cc1OC,-21.016172565636225
Cc1ccc(C)c(C(=O)N[C@@H]2C=C[C@@H](c3c(C)nn(-c4ccccn4)c3C)C2)c1,-23.89515355772164
CC(=O)OC[C@@]1(O)CC[C@]23COC(=O)C2=C[C@@H](O)C[C@@H]3[C@@]1(C)CCC1=CC(=O)OC1,-20.922261170577254
CCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC,-16.087269255891442
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3[C@H](O)C[C@H](O[C@@H]4CC[C@]5(C)[C@@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@@]65O)C4)O[C@@H]3C)O[C@H]2C)[C@H](O)[C@H](O)[C@H]1O,-23.143719321116805
COC(=O)CCCNCc1ccco1,-18.810866322368383
CC(=O)O[C@H]1C[C@@H]2[C@](C)(CC[C@@]2(O)[C@H](C)CCC=C(C)C)C[C@@H]2O[C@]2(C)CC[C@@H]2O[C@]12C,-31.039988667238504
CC(C)=CCC[C@](C)(O[C@@H]1OC[C@](O)(CO)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C,-23.61874872012413
C=C1[C@@H](OC(C)=O)CC[C@@]2(C)C[C@H](OC(=O)CCC)C3=C(C)CC[C@@H]([C@@H](OC(C)=O)[C@H]12)C3(C)C,-20.19789000286255
C[C@@H](O)NCCCO,-23.522390197962523
COc1cc2c(cc1OC)[C@@H](CCN(c1ncccn1)C(F)(F)F)N(C(C)=O)CC2,-31.73428461747244
C=C1C(=O)O[C@@H]2[C@@H]1[C@H](OC(C)=O)[C@]1(O)CC(=O)C(C)=C([C@H]2OC(=O)/C(C)=C\C)C1(C)C,-24.48364876676351
CC(=O)N[C@@H]1[C@@H](OCc2ccccc2)O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]2O)[C@@H]1OC(C)=O,-14.924456029650171
