Molecule,Log-Likelihood
CCCCCCCCC/C=C/CC/C=C/CCc1cc(O)c(C)n1O,-24.43490427092183
CC1(C)C[C@@H](C[C@]2(C)O[C@@H]3COC(=O)[C@@]3(C)[C@@](C)(O)CC[C@H]2O)OC1=O,-37.8576169775406
COc1cc2oc3cc(C)cc(O)c3c(=O)c2c(OC)c1OC,-16.59174032122246
CC1(C)C=Cc2c(O)ccc(C(=O)CCc3ccc(O)c(O)c3)c2O1,-19.84042093987955
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3C[C@H](O)[C@@H]4[C@@H]([C@]5(C)CC[C@H](C(C)(C)O)O5)C[C@H](O)[C@]4(C)[C@]3(C)CC[C@H]2C1(C)C,-26.50403366347018
C/C(=C/CCC(C)C)CC[C@]1(C)C(=O)CC[C@](C)(O)[C@@H]1CC/C(C)=C/CO,-28.860047760637823
O=C(CC(=O)c1ccccc1)OC[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,-30.86894750303327
Cc1nn(-c2ccccn2)c2c1C1=CC=C(N(C)C)C1=N2,-28.823940220070657
COc1cc(O)cc2occc12,-14.122631412406918
Cc1c(CCCCCO)c(=O)oc2c(C)c3oc4c(c3cc12)CCCC4,-18.60772406553224
O=C(Nc1ccc(Cl)c(Cl)c1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,-13.993595509789884
CO[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](C)O[C@@H](O[C@H]3[C@@H](C)O[C@H](O[C@H]4[C@@H](OC)C[C@H](O[C@H]5CC[C@@]6(C)[C@@H](CC[C@]7(O)[C@@H]6C[C@@H](OC(=O)c6ccccc6O)[C@@]6(C)[C@]7(O)CC[C@@]6(O)[C@H](C)OC(=O)c6cccnc6)C5)C[C@H]4OC)O[C@@H]3C)C[C@H]2OC)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,-34.865629032909055
NCCNc1cccc2ccccc12,-19.644956739299232
O=C(C1CC1)C1SCSCS1,-27.28856018476654
CC1(C)CC2=C3C=C[C@@H]4[C@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@@]4(C)[C@@]3(C)C[C@@H](O)[C@@]2(CC(=O)O)C[C@H]1O,-32.43839057533478
COc1c(O)c(O)cc2c1O[C@H](c1ccc(-c3ccc(O)cc3)cc1)CC2,-24.835472119491897
C=C1CC[C@H]2[C@](C)(CCC[C@]2(C)C(=O)O)[C@@H]1CCC1=C[C@H](O)OC1=O,-15.351100889623922
CCCC[C@@H](C)C[C@@H](CC)CCCC,-20.777410967988544
C=C(C)[C@H](O)COc1ccc(-c2oc3c4c(cc(O)c3c(=O)c2OC)OC(C)(C)C=C4)cc1OC,-22.506895074813656
CC(=O)N[C@H]1[C@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@]4(C)[C@@H]3CC=C3[C@@H]5CC(C)(C)CC[C@]5(C(=O)O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]34C)C2(C)C)O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-22.171395482153457
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,-19.296105685920335
NC(=O)c1cccc(NC(=S)Nc2ccccc2)c1,-19.361858998548996
COc1cc2c(=O)oc3ccc(O)c(OC)c3c2cc1OC,-17.481911108232453
Oc1ccccc1CN[C@H]1[C@H](Cn2cc(-c3cccc(F)c3)nn2)OC[C@@H]1O,-18.41189626714913
C=C1C[C@@]2(CC[C@@H]3[C@]4(C)C=CC[C@]3(C)O[C@@H]4CC2)[C@H]2C[C@]13C(C)(C)O[C@]23C,-36.97105548069521
C/C=C(\C)[C@H](O[C@H]1O[C@H](CO[C@H]2O[C@H](C)[C@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1OC(C)=O)[C@H](C)/C=C(C)/C=C/C[C@@](C)(O)/C=C/c1coc(C(C)=O)c1,-45.32606460079478
C=C(C)[C@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@H]4[C@@]5(C)CC(C=O)=CC(C)(C)[C@@H]5CC[C@]43C)[C@H]12,-20.677947962765757
C=C(C)[C@H](O)CC/C(C)=C/Cc1ccc(O)c(-c2oc3cc(OC)cc(O)c3c(=O)c2O)c1O,-26.641212448408623
O=C(O)c1c(Cc2ccccc2)ncn1O,-23.113794602511916
C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2[C@]1(C)O,-15.034954377733811
CC(C)CC[C@@H](C)[C@@H]1CC[C@@H]2[C@H]1C=C[C@@H]1[C@H]2CC=C2C[C@@H](O)CC[C@]21C,-24.398868800795753
CN1CCC[C@@H]1c1nc(-c2cncnc2)no1,-15.46483664088737
Cc1c2c(cc3c4c(c(=O)oc13)CCC4)CN(Cc1cc(Br)cc3c1OCOC3)CO2,-22.43083526101327
O=C1C[C@H](c2ccc(O)c(SC[C@H](O)CO)c2)c2c(ccc3c2O/C(=C\c2cccnc2)C3=O)O1,-28.77431448527932
COc1cc2ncn(CC(=O)N(C)C[C@H]3CCCN4CCCC[C@H]34)c(=O)c2cc1OC,-13.492435190004471
COC(=O)C1=COC(C)=C[C@@]2(C)CC(=O)C(C(C)C)=CN12,-34.194291158084525
COc1c(OC)c2oc(=O)ccc2c2oc(O)cc12,-17.854704524383123
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCCCc3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,-17.17378070387349
CC(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@@]12C,-23.449544330695065
COc1cc2oc(=O)cc(C)c2cc1CCC(=O)N1CCN(CCO)CC1,-16.038370845169993
COc1cc(OC)c2c(=O)cc(-c3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3)oc2c1OC,-20.13622146835405
C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@@H](OC(=O)/C(C)=C\C)[C@]3(C)C=C[C@]12O,-24.309538179819356
COc1ccc([C@@H]2Oc3c(OC)cccc3[C@@H]3CC(c4cccc(OC)c4)=NN32)cc1,-16.753240820704377
CCCO[C@H](c1ccc(OC)cc1)[C@H](C)Cc1ccc2c(c1)OCO2,-21.041560194309568
C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@H]6CC(C)(C)CC[C@]6(C(=O)O)CC[C@]45C)[C@]3(C)CO)OC[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,-17.130830862326548
COC(=O)c1cc(=O)c(OC)co1,-16.587722656950064
C/C=C(\C)C(=O)O[C@@H]1C=C2CC(=O)C(=C(C)C)C[C@]2(C)[C@H]2CC[C@@]12C,-23.90095688722795
CC(=O)O[C@H]1C[C@@]2(O)CC[C@@]34COC(=O)C[C@H]3C(C)(C)[C@H](OC(C)=O)C[C@@H](O)C4=CC2=C1C,-40.4917887917145
Cc1ccc(CN2C[C@@H]3OCC(=O)N(Cc4c[nH]cn4)[C@@H]3C2)cc1,-19.68840740588348
CCCCCCCCCCCCCCC(=O)c1c(O)cc(O)cc1O,-13.973398921520127
CCOc1ccc2c(c1)C(=O)c1cc(OC)c(OC)c(OCC)c1C2=O,-19.10742660503456
CCNC(=O)O[C@H]1CCCC[C@H]1NC(=O)Nc1ccc(C(C)=O)cc1,-25.248319003432695
CC(=O)O[C@@H]1C[C@@H](O)CC[C@@]2(C#C[C@@H]3CCC[C@H]4C[C@@H](CCN4)Oc4cc(c(CO)cc4O)C[C@@H]31)CN[C@H]1CCC[C@H]12,-27.004113250906812
CC(=O)O[C@H]1[C@H](OC[C@@]2(O)CO[C@H](O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,-31.131685187770927
CCN1C[C@]2(COC)CC[C@H](OC)[C@@]34[C@@H]5C[C@@H]6[C@@H](OC)[C@@H]5[C@](O)(C[C@@H]6OC)[C@@H](C[C@H]23)[C@@H]14,-16.93126049554121
CC1=CCC(C)=C(CC[C@@H](C)O)[C@H]1C,-26.680302271721303
CC(C)=CCC[C@@](C)(O)[C@]1(O)[C@H](O)C[C@@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@H]3[C@@H](O[C@@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)C[C@@]12C,-33.09922853892931
Cc1ccc(CNC(=O)c2ccccc2N2CCC[C@H]2c2nc3ccccc3[nH]2)cc1,-24.64152900773479
CS[C@@]1(O)C(=O)Nc2ccc(Br)cc21,-17.671673039338202
CC(C)=CC[C@@H]1O[C@@H]2C=C(CO)CC[C@@]23O[C@H]13,-25.478108665833133
CO[C@H]1O[C@H](C)[C@@H](O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](OCc2ccccc2)[C@@H]1OC(C)=O,-25.369499460553925
C/C=C/C[C@@H]1O[C@]1(C)c1c(O)c(O)cc(OC)c1O,-29.28827313462898
C=C1[C@@H]2CC[C@@H]3[C@H]1C[C@H]1[C@H]2N(CC)C[C@]2(C)CCC[C@@]312,-28.709682049637195
CC1(C)C[C@@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](O)C1,-16.515252567114658
CC1(C)[C@H]2CC[C@]1(C)C(=O)/C2=C/C=C\CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-21.781982084314222
CC(=O)[C@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)c1cccnc1)C[C@H]1[C@@]3(C)CC[C@H](OC(=O)c4ccccc4)C(C)(C)[C@@H]3CC[C@]12C,-22.279809314779413
Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)Cc2ccccc2)C1,-14.584833829030686
C=C1C(=O)O[C@H]2[C@H]3C(C)=CC[C@H]3C(CO)(CO)[C@@H](O)[C@@H]12,-19.443291210613097
