Molecule,Log-Likelihood
CCC(=O)O[C@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H](CC[C@@H](OC(C)=O)[C@@H]2CCc2ccoc2)[C@]1(C)C1=C(C)[C@@H](c2ccoc2)C[C@@H]1OC(=O)C[C@](C)(O)CC(=O)OC,-45.95360041397362
O=C(c1ccccc1)N1CC2(C1)C(=O)N(Cc1ccccc1)C(=O)N2Cc1ccccc1Cl,-18.687050124644884
Cc1ccc2oc(O)cc2c1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,-21.37683386956633
CCN1c2ccc(C)cc2C(=O)NC12CCN(C(=O)Nc1ccccc1C(F)(F)F)CC2,-17.953520053895772
COc1cc(O)c2c(c1-c1c(O)cc(O)c3c(O)c4c(c(O)c13)C(=O)C(C)=CC4=O)C(=O)C1=C(C[C@@](C)(O)C[C@H]1O)C2=O,-23.78870237161391
C/C(=C\COc1c2c(cc3ccc(=O)oc13)C[C@@H](C(C)(C)O)O2)CC[C@@H]1OC1(C)C,-21.18053494936612
CC1=C[C@@]23OC(=O)C(C)=C2CC[C@@H](C)[C@@H]3[C@@H](O)C1,-21.3741651811506
C/C=C1\SC(=O)N2CCc3c([nH]c4ccccc34)[C@@H]12,-22.795587338601763
COc1cc(OC)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,-15.242721616967174
COc1c2c(c(N)c3c1cnn3C)CC[C@H](O)[C@@H](O)C2,-36.29102076851996
COc1ccc(OC)c([C@H]2NCCc3c2[nH]c2ccc(OC)cc32)c1,-14.195644039871697
CC(=O)O[C@@H]1C[C@@H](C)[C@](O)(CCC2=CC(=O)OC2)[C@]2(CO)[C@@H]1[C@@](C)(C1CCCCC1)CC[C@@H]2O,-19.329886217026797
CCC/C=C1\OC(=O)[C@@]23C=CCC[C@]12O3,-12.891229764398304
CCCN1C[C@@H]2C[C@@H](O)CN2C2(C1)CN(C1CCC1)C2,-14.980911050428404
CC/C=C/C[C@H](O)[C@H](O)/C=C/C1=C(\C[C@H](O)CO)[C@@H]2NC[C@@](C)(O)[C@@H](c3ccc(O)cc3)C#C[C@@H](C[C@H]2CC[C@H](O)CCC(=O)O)c2ccccc2CC1,-28.336160707534873
CC1=C2C[C@@H](C(C)(C)O)CC[C@@]2(C)CC(=O)C1,-14.354778794768208
C[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](OC[C@@H]3O[C@@H](OC(=O)[C@@]45CCC(C)(C)C[C@@H]4C4=CC[C@@H]6[C@]7(C)CC[C@H](O)C(C)(C)[C@@H]7CC[C@]6(C)[C@@]4(C)CC5)[C@H](O)[C@@H](O)[C@H]3O)O[C@H]2CO)[C@H](O)[C@H](O)[C@@H]1O,-21.606706689293787
CCOC(=O)c1ccc(NC(=O)N[C@H]2CC(=O)Nc3ccccc32)cc1,-26.497938732693
CC1(C)CC[C@]2(C(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@H]5CC[C@]43C)[C@H]2C1,-14.906466528227613
CC[C@@H](O)C[C@@H]1CC[C@@H]2CC[C@@H](CC(C)=O)N21,-24.752177791342547
O=C(N[C@@H]1[C@H](O)[C@H](O)C[C@H]1c1ccccc1)c1cccs1,-14.934211014122411
C=C1[C@@H]2[C@@H](CO)[C@H]3CC[C@]2([C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]3O)[C@H]1O,-28.014249658575864
CCNC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@@H](O)[C@@H]2CC(=O)NCc2cccs2)[C@]1(C)CO,-15.053160968593147
C=C1[C@@H](C)[C@@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23[C@H](O)/C=C\[C@@](C)(O)C[C@@H](C)C/C=C\[C@@H]3[C@H]1O,-15.78911321810665
