Molecule,Log-Likelihood
CC(C)(O)CC(=O)O[C@H]1CC(C)(C)[C@H]2[C@H](O)C=C3C(=O)OC[C@@H]3[C@]2(C)C1,-24.46107201880659
C[C@@H]1C[C@@H](O)[C@]2(C)[C@@H](C3=C4C=C[C@@]5(O)C[C@@H](O)CC[C@@]3(C#N)[C@H]45)CC[C@H]12,-44.14133072641562
C=C1C(=O)O[C@H]2C=C(C)[C@H](CC/C=C(/C)CO)[C@@H]12,-22.12614783193567
Cc1oc(=O)c(C[C@H]2C(C)(C)[C@H](O)CC[C@@H]3[C@@](C)(CO)CCC[C@@]32C)c(O)c1C,-25.458821653166524
C=C1C(=O)O[C@@H]2[C@H]1[C@H](OC(=O)/C(C)=C\C)[C@@H]1C(=C)C(=O)O[C@@H]2/C=C(/CO)[C@H]1O,-26.200329199433327
CCCCCCCC/C=C/CCCC#CC#CCCC(=O)NCCOC,-26.57215929031372
COc1cccc(NC(=O)CN2C(=O)c3ccccc3N3C(=O)c4c(ccc(OC)c4OC)[C@@H]23)c1OC,-17.672315652074758
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(/C)[C@]2(C)C[C@@H](O)C2)O[C@H](C)[C@@H]1O,-39.14477679133415
CC(C)(O)[C@H]1CC[C@@]2(C)CC3=CC[C@@H]4[C@@]5(C)C=CC(=O)OC(C)(C)[C@H]5CC[C@@]4(C)[C@@]3(C)[C@H](O)CC[C@]12C,-40.85508304089308
CN1CC[C@@]2(C=C[C@H]3C[C@]3(CCc3ccccc3)C2)c2ccccc21,-36.59819134999998
C[C@H](CCC(C)(C)[C@H](C)CCC(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,-24.65383165565436
O=c1ccc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)cc2o1,-15.81716127175605
C=C1CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,-15.702211070805788
C=C(C)[C@H](O)CC/C(C)=C/CC/C(=C/CC/C(C)=C/CCc1ccoc1)COC(C)=O,-20.75722147518536
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCOC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,-22.733950068242848
C=C(C)[C@H](C)CC[C@]1(OC(C)=O)O[C@H](O)[C@@H]2C[C@H]1C[C@@H]1C(=C)CC/C=C(\C)CC[C@@H]21,-48.24220592016354
COc1cccc2[nH]c(C[C@H]3C=c4oc(=O)n(C)c4=C3)cc12,-30.08485460116935
CCCCCCCCc1ccc(Cl)cc1C(=O)OC,-20.198215909302235
COc1cc2c(=O)c3c(O)cc(C)cc3oc2c2c1OC(C)(C)C=C2,-16.865862059872597
C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)OO,-22.07616636995226
Cc1ccc(CN2CC[C@H](c3nnc(C(C)(C)C)o3)C2)cc1,-13.041744507849216
COc1ccc(-c2c(C(F)(F)F)oc3c4c(ccc3c2=O)OCN(Cc2ccco2)C4)cc1,-14.598451104015112
CC1=C2CC(=O)C[C@@H]3[C@H](CC[C@H]4C(C)(C)[C@@H](OO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5OC[C@@H](O)[C@@H](O)[C@H]5O)CC[C@@]34C)[C@@]2(C)CCC1,-43.8540005676914
C[C@@]12CC[C@H](O)C[C@]1(C=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-22.124165644228924
Cc1ccc(CN2C[C@H]3CN(Cc4ccccn4)CCN3C2=O)cc1,-15.841369827272729
C=C1C[C@](CCNCc2ccccc2)(c2ccc(OC)cc2)CO1,-22.995259856339544
CN(C)c1ccc(-c2nnc([C@H]3CCN(C(=O)CC(C)(C)CC(=O)O)C3)o2)cc1,-15.706599713521427
COc1cc(C(C)(C)O)oc(=O)c1C,-14.800984282337597
CC1=C(C)OC(C)=C(C(=O)OCC(=O)O[C@]2(C)CC[C@]3([C@@H](C)CC[C@H]4[C@](C)(CO)[C@@H](O)CC[C@@]43C)[C@@H]2O)C(=O)O1,-44.58066757163033
CC#CC/C=C/CCC(=O)O,-21.285437770187855
COCCCN(C[C@@H]1CCCN2CCCC[C@H]12)C(=O)Cc1c(C)c2cc3c(C)coc3c(C)c2oc1=O,-14.959179654280888
C=C(C)[C@H]1CC=C(C)[C@@H]2CCCC(=C(C)C)[C@@]12C,-33.39948778739199
CC(C)CCC[C@@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](OC=O)CC[C@]4(C)[C@H]3CC[C@@]21C,-17.375486003642436
C=C1CC[C@@H]2C(C)(C)[C@H]3C[C@@]23[C@H]1C,-21.58668351173401
CCO[C@@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C)CC[C@@]2(C)C1,-19.88191155111417
COc1ccc(C[C@H](C)NC(=O)c2ccc(OC)c(OC)c2)cc1,-16.457359792664647
COc1ccc([C@H](NC(=O)COc2cc(O)c3c(c2)OC(C)(C)CC3=O)c2oc(C)cc(=O)c2O)cc1CC=C(C)C,-25.9731120854849
CCCc1ccc(O)cc1C=O,-17.326656938064843
