input_file,output_file,original_rows,raw_duplicate_rows,rejected_rows,canonical_duplicate_rows,cleaned_rows,rejected_ambiguous_stereochemistry,rejected_ambiguous_stereochemistry_after_standardization,rejected_empty_smiles,rejected_explicit_valence_or_property_error,rejected_hydrogen_without_neighbors,rejected_kekulization_error,rejected_parse_error,rejected_standardization_error:AtomValenceException,rejected_standardization_error:KekulizeException,pretraining_overlap_removed_rows
GPT_Char_rds_generated_mol_100000.csv,GPT_Char_rds_generated_mol.csv,100000,781,68433,25,28304,47325,1025,1.0,664,2.0,3400,16016,,,2457
GPT_Char_sfs_generated_mol_100000.csv,GPT_Char_sfs_generated_mol.csv,100000,832,69463,48,27173,43041,874,1.0,803,1.0,3736,21007,,,2484
GPT_ais_rds_generated_mol_100000.csv,GPT_ais_rds_generated_mol.csv,100000,1413,67828,45,27818,47892,840,1.0,272,,3243,15580,,,2896
GPT_ais_sfs_generated_mol_100000.csv,GPT_ais_sfs_generated_mol.csv,100032,1414,66694,44,28284,48202,786,1.0,369,,2812,14524,,,3596
GPT_bpe_rds_generated_mol_100000.csv,GPT_bpe_rds_generated_mol.csv,99999,1138,70060,40,25008,49372,940,,1239,,3312,15197,,,3753
GPT_bpe_sfs_generated_mol_100000.csv,GPT_bpe_sfs_generated_mol.csv,100026,1188,69208,15,25955,45887,768,1.0,1258,,2906,18388,,,3660
GPT_npbpe1000_rds_generated_mol_100000.csv,GPT_npbpe1000_rds_generated_mol.csv,100000,1982,66074,40,24982,50302,610,,760,,2260,12142,,,6922
GPT_npbpe1000_sfs_generated_mol_100000.csv,GPT_npbpe1000_sfs_generated_mol.csv,100000,2448,64732,48,24935,47841,568,1.0,816,,2196,13310,,,7837
GPT_npbpe100_rds_generated_mol_100000.csv,GPT_npbpe100_rds_generated_mol.csv,100000,1369,69335,27,24721,48564,634,,848,,2889,16400,,,4548
GPT_npbpe100_sfs_generated_mol_100000.csv,GPT_npbpe100_sfs_generated_mol.csv,100000,1856,68088,36,24776,51741,808,1.0,1157,,2577,11804,,,5244
GPT_npbpe30k_rds_generated_mol_100000.csv,GPT_npbpe30k_rds_generated_mol.csv,100000,2743,76396,30,16409,33314,696,,745,,3530,38111,,,4422
GPT_npbpe30k_sfs_generated_mol_100000.csv,GPT_npbpe30k_sfs_generated_mol.csv,100000,3514,79833,48,12817,25309,518,1.0,686,,2771,50548,,,3788
GPT_npbpe60_rds_generated_mol_100000.csv,GPT_npbpe60_rds_generated_mol.csv,100000,1046,70304,18,25207,49456,739,1.0,617,1.0,3110,16380,,,3425
GPT_npbpe60_sfs_generated_mol_100000.csv,GPT_npbpe60_sfs_generated_mol.csv,100000,1134,69071,39,25937,50114,718,1.0,640,1.0,3088,14509,,,3819
GPT_npbpe7924_rds_generated_mol_100000.csv,GPT_npbpe7924_rds_generated_mol.csv,100000,2462,73346,29,20194,37059,772,1.0,823,,4178,30513,,,3969
GPT_npbpe7924_sfs_generated_mol_100000.csv,GPT_npbpe7924_sfs_generated_mol.csv,100000,2887,73296,29,19192,38865,695,1.0,758,,3470,29507,,,4596
M1_Char_rds_generated_mol_100000.csv,M1_Char_rds_generated_mol.csv,100000,875,69438,31,24733,49878,772,1.0,797,,3348,14642,,,4923
M1_Char_sfs_generated_mol_100000.csv,M1_Char_sfs_generated_mol.csv,100000,1096,69038,30,24634,48547,938,1.0,976,1.0,2348,16227,,,5202
M1_ais_rds_generated_mol_100000.csv,M1_ais_rds_generated_mol.csv,100000,1300,68755,35,25696,49915,894,1.0,481,,3394,14070,,,4214
M1_ais_sfs_generated_mol_100000.csv,M1_ais_sfs_generated_mol.csv,100032,1398,66999,56,26655,46853,835,1.0,431,,2550,16329,,,4924
